Items_Produced,Amount_of_Waste
3738,254.56
2926,196.31
2603,168.5
2597,146.46
1866,144.68
1676,113.28
3072,228.14
1137,66.33
3762,263.41
4886,342.24
914,57.62
1882,147.22
4115,302.06
4498,311.37
2024,157.31
4526,331.98
968,84.43
4538,339.32
2772,206.23
173,27.61
4574,318.0
861,57.12
2194,154.79
3881,270.13
3680,264.3
4015,282.42
4073,284.53
3941,303.18
4956,368.3
4838,360.26
4348,292.31
3089,218.55
105,14.39
2115,153.01
2263,138.15
1320,96.21
1711,111.21
1720,129.49
2898,199.59
2339,141.56
4037,289.75
4786,321.94
3868,292.37
4980,336.98
4009,261.84
889,62.05
2889,211.84
4241,257.29
297,37.92
2628,168.51
1570,132.16
4425,292.27
225,1.63
3943,269.72
3243,253.06
923,95.46
831,46.41
3086,195.97
3127,246.15
1494,76.29
1627,100.78
406,33.39
253,12.15
4566,304.84
4345,277.61
4758,319.78
4312,306.61
2871,202.48
1649,97.88
4655,331.51
100,14.75
974,38.65
122,2.68
4345,275.27
3348,259.72
1568,119.43
2823,194.95
2435,146.81
3066,201.94
822,54.65
4442,331.26
4625,331.17
3864,274.38
1492,104.96
919,72.13
3605,274.53
3285,201.82
3233,232.61
123,11.61
489,37.84
3254,238.25
2774,204.82
2774,198.06
4271,295.78
259,23.55
764,48.96
163,16.27
835,67.41
615,27.83
4325,316.04
1530,117.48
3255,201.11
3719,232.39
799,68.54
3608,230.86
116,0.0
1721,111.69
4010,280.14
350,34.48
4811,354.01
1585,103.64
4177,304.49
3932,283.68
2001,141.04
3636,260.49
395,23.99
4500,312.84
923,72.54
3508,227.21
3949,262.18
4358,312.17
1517,119.45
4215,301.85
819,51.76
1674,116.49
2197,132.97
4012,285.54
2096,134.49
4371,287.77
4612,343.95
2950,208.14
1212,70.65
4423,298.24
986,71.01
4544,298.87
3336,252.71
2605,149.21
2733,187.16
2463,172.11
2069,139.87
2768,205.02
4464,317.71
2294,154.82
3450,230.94
3226,216.11
3693,266.63
1307,80.76
1239,123.27
3076,221.64
667,48.08
1744,120.57
3751,246.89
1255,99.49
4338,285.9
3842,293.76
4965,362.23
1839,138.64
2308,173.42
1557,113.78
2597,183.79
1115,73.32
635,41.38
2289,151.41
3732,263.9
2060,171.42
2947,213.69
286,2.39
3811,285.67
2121,131.15
603,60.91
2746,196.72
832,61.94
2722,207.61
2858,222.27
4104,282.83
3560,222.02
2189,164.54
2384,151.94
2359,153.34
2859,204.67
699,42.41
1532,96.83
1425,93.92
1918,152.09
195,6.16
4624,324.08
2279,177.76
3583,247.25
2193,138.73
800,51.78
4747,302.01
3973,279.85
2519,170.81
2045,126.42
494,69.04
4344,288.71
1823,143.05
1703,128.95
3813,260.72
3511,253.39
4159,285.85
4686,321.65
3368,230.94
3821,278.92
2220,159.72
1922,138.72
4294,274.79
4842,344.65
2495,158.07
2762,177.11
2517,175.29
4464,337.26
847,66.67
859,40.94
4859,373.63
4419,294.26
3257,244.29
3151,241.76
4043,285.7
3331,214.06
187,15.17
3528,245.78
1771,95.31
4626,318.87
4943,326.62
2021,141.05
1752,133.32
2935,202.61
2646,202.97
4560,326.53
2756,179.23
3513,235.55
3330,252.01
4422,306.32
877,102.66
3513,228.84
3636,271.61
4766,307.46
2510,128.06
4425,316.88
1258,54.9
4488,334.09
3033,231.36
3174,211.21
2954,199.25
1005,37.13
4104,262.97
3962,259.84
4997,331.37
871,63.69
2051,166.92
3341,227.99
4597,321.03
919,68.12
4324,285.72
4282,301.58
2608,172.57
999,95.03
4425,302.79
2833,203.31
1189,80.28
2069,139.12
1459,108.6
4556,312.28
2401,165.59
2853,194.65
391,59.66
4010,278.59
1522,117.3
3272,218.43
2476,168.66
1635,130.49
1851,133.77
2129,176.93
2643,177.04
4206,323.08
267,18.03
2537,175.84
3662,262.92
4885,338.77
3883,285.17
1587,109.05
3092,207.53
3192,222.59
978,33.98
446,21.65
4486,321.28
1759,142.57
3812,279.41
3571,252.78
1666,116.99
3913,269.55
3309,230.63
2650,194.6
2957,195.48
2881,200.92
2057,159.13
1420,111.2
2958,212.5
4559,304.92
2357,180.32
878,31.51
3091,206.19
2789,199.69
4287,312.61
3639,247.45
3314,239.0
2360,149.75
2661,192.28
2838,214.85
2011,139.9
4947,368.74
4783,340.01
3163,232.65
4128,292.95
2933,173.49
2264,176.14
464,41.5
806,58.62
3462,224.71
193,12.9
2982,203.78
1269,60.03
582,72.5
1133,98.44
142,0.0
2763,183.22
2008,144.01
4991,361.68
1692,116.27
324,28.1
4404,298.22
240,4.97
1610,105.13
465,24.69
4632,302.51
1202,85.18
366,46.63
303,5.4
499,27.62
996,59.41
4601,305.58
285,0.0
787,44.18
4754,322.79
1945,151.18
1782,124.65
4314,315.24
3491,244.54
677,42.86
3576,278.12
2061,138.41
3642,255.86
4973,340.57
1207,76.94
879,78.1
450,32.49
2188,138.19
2715,193.79
305,36.85
136,0.0
3837,258.55
3890,262.75
547,34.65
1380,103.52
2746,192.83
3686,261.2
3193,244.21
2716,192.27
687,59.77
1808,118.41
2307,169.22
4969,352.59
1500,101.02
137,14.19
4490,291.52
3544,255.42
1655,96.15
4715,349.86
1406,95.69
702,38.01
4791,346.74
4301,307.0
813,57.06
3160,181.12
676,62.23
3022,212.95
3247,219.07
2541,163.38
2740,210.82
4649,331.05
1250,112.28
3569,269.32
929,68.33
4405,315.14
1213,62.73
3499,255.58
3003,212.76
3441,240.58
2763,186.81
483,44.62
1060,66.6
3906,257.27
3776,249.8
2415,151.29
2344,178.53
2146,143.88
1392,96.12
3869,291.3
666,32.16
697,31.9
4813,339.38
731,43.3
3208,239.82
2191,151.1
4206,283.2
2523,166.52
259,30.5
2317,157.55
1867,136.37
3838,256.39
4752,317.56
1513,92.59
3037,201.79
1254,96.36
558,17.38
3202,206.96
103,16.45
1445,107.77
3986,287.62
2327,145.1
827,57.34
742,27.44
4418,287.79
2221,149.85
557,42.95
4168,307.22
4334,297.05
3632,261.65
3409,224.83
158,31.92
4002,291.41
126,0.0
349,18.13
4666,329.99
1616,105.25
4792,319.5
351,29.03
1231,86.5
2987,200.51
2169,155.02
1234,63.53
3883,277.48
3138,222.55
2022,128.09
2869,173.31
3119,226.0
221,3.82
2762,201.65
2562,192.49
3659,285.24
2118,120.53
1552,119.43
3656,243.08
1235,95.12
4535,320.74
4981,372.2
1152,87.03
2229,175.0
2760,193.24
1325,79.37
168,47.43
2181,157.73
4555,312.93
4885,333.11
658,60.77
803,24.69
1674,96.71
2489,173.2
1639,82.92
1093,64.17
3859,270.27
3491,258.49
2397,182.47
668,56.37
3173,197.11
3642,237.59
2871,197.43
4720,347.2
1350,105.01
3532,249.47
1270,57.46
1528,118.5
2476,164.77
750,41.4
2989,220.58
1932,123.91
3358,238.4
2409,171.23
3914,301.66
2011,133.3
632,56.04
2448,153.9
3283,232.17
4783,329.21
4037,284.83
2954,210.37
1313,109.98
4077,287.3
1033,58.61
1751,98.4
804,47.63
2877,216.69
4720,338.96
4982,343.52
712,40.99
858,57.61
4928,326.74
2302,165.95
2031,147.46
1951,158.77
4539,329.86
2506,143.75
2977,224.83
2250,162.08
3568,246.85
3411,241.09
3205,227.97
4670,337.51
1117,70.99
3838,281.91
3111,258.67
2623,167.98
2749,182.59
4117,287.59
2424,148.34
2051,141.1
4606,336.79
3412,238.21
2365,146.06
1592,125.23
3914,278.74
1853,138.47
1641,124.54
549,51.9
1205,84.09
4905,348.27
3941,283.0
762,58.98
1560,107.25
3173,226.76
805,33.88
345,34.47
279,21.3
2000,131.62
3401,213.83
1189,85.39
4211,277.62
1559,93.02
2389,135.48
4857,359.53
4382,285.74
3538,268.82
651,66.14
3643,249.53
4860,336.51
1804,128.06
1646,104.17
4618,320.16
2671,174.65
233,2.84
409,57.03
3504,251.59
1555,118.19
4142,284.56
3168,211.87
2878,185.31
4945,352.89
1947,126.91
4702,340.17
1723,112.64
953,78.04
135,18.87
2875,233.55
2992,200.04
4970,341.77
4363,304.42
4919,361.5
465,33.99
3114,199.74
2314,182.54
3086,198.59
4703,329.19
636,33.24
527,25.8
3531,232.12
3810,279.59
695,47.53
1023,65.35
352,41.87
1995,155.73
2463,171.45
3197,215.82
740,39.88
366,29.61
2960,185.21
3000,206.29
1828,104.95
2545,170.15
1085,101.85
198,11.44
3288,249.64
1724,116.65
1915,148.41
937,45.76
677,36.06
3521,265.46
1495,102.46
3431,227.72
4535,325.58
838,57.2
725,62.43
2037,123.68
2120,144.96
3826,267.84
331,42.98
1157,90.05
3211,209.54
4598,330.23
4575,278.53
419,11.84
1336,103.9
167,20.45
1410,87.29
3885,254.42
215,26.72
1246,98.42
2029,147.4
4555,318.52
3550,237.08
3250,234.59
1762,109.54
1349,81.86
3335,220.17
3671,269.48
4874,349.46
685,31.28
3162,205.47
668,78.0
3832,290.47
1899,115.06
1771,133.81
2932,167.72
1418,88.15
2019,115.47
222,1.26
1775,126.72
887,69.34
909,52.11
2402,184.94
4035,280.69
3551,264.29
3443,225.72
287,0.0
228,26.83
3701,237.22
444,81.48
4635,293.33
4419,329.0
1613,137.33
3565,261.59
1738,128.65
3228,217.25
1410,106.96
2040,142.73
586,16.74
736,31.48
2948,198.29
189,19.8
2037,177.48
3011,205.19
454,20.12
1761,125.82
1563,115.88
3584,249.96
358,34.43
2294,176.41
3472,223.75
2030,139.93
566,57.49
2965,188.1
791,51.04
3926,261.63
764,72.21
2104,127.11
3374,246.34
3827,281.08
4733,347.37
3498,242.29
744,45.61
1124,81.58
2049,166.95
352,20.72
3147,208.01
1143,96.35
1982,123.49
329,36.69
754,57.33
4754,345.12
3498,220.34
4676,315.27
2064,135.4
154,8.0
1511,105.12
4609,318.69
2118,143.62
294,0.0
2473,182.35
539,21.59
2762,202.99
2022,115.24
555,43.35
2749,193.33
3094,216.62
4589,305.34
1476,123.08
2780,194.51
3193,204.11
4030,297.55
2506,160.82
201,9.67
2290,176.25
4632,325.59
4926,323.25
1124,57.72
1890,119.42
972,70.18
4760,335.33
4586,348.25
1162,59.97
316,36.79
3452,257.37
4916,362.35
3288,211.25
4871,335.64
928,66.11
588,35.54
2255,161.65
4646,324.29
3916,292.73
528,49.6
2009,118.21
1178,84.7
4738,312.33
4603,297.97
1107,76.56
434,12.52
2738,211.68
3205,219.18
3457,264.44
2309,167.55
2583,178.27
196,8.57
4788,315.05
2309,133.78
3403,233.27
2010,144.74
2358,177.41
3102,233.27
4665,304.42
3844,275.01
2150,144.23
597,69.7
1426,133.44
2365,183.09
3077,206.14
3718,232.15
273,4.01
4328,302.28
537,46.02
1141,73.55
2324,167.81
3963,290.06
3893,290.27
2805,179.36
4446,311.73
2826,203.16
1581,99.18
236,19.68
4824,354.43
1524,127.99
2374,124.53
2310,166.34
1069,79.23
1111,89.74
803,67.37
4652,321.37
3454,238.66
781,60.97
3043,197.58
707,46.55
715,49.43
4276,290.87
4004,261.76
2033,144.77
3371,244.88
2544,190.55
4328,307.7
3967,275.11
205,17.04
3535,234.82
2051,153.72
2033,107.02
4258,290.36
2918,208.81
1372,85.5
3114,214.49
3601,251.02
821,45.75
3768,250.84
1602,120.7
2831,208.94
1649,109.37
3161,209.92
2621,183.35
1276,71.49
665,29.95
2789,183.69
4228,315.34
1935,124.91
1864,138.93
542,18.95
1251,82.17
440,41.32
1051,75.68
361,18.02
2713,186.97
1477,130.57
726,74.34
3346,227.35
4445,306.6
991,76.55
3731,277.25
4070,316.76
3506,220.76
898,64.15
2042,129.9
307,33.82
3645,256.57
3662,266.67
3348,245.69
448,43.87
3539,248.25
1196,91.24
3171,201.82
3715,239.52
3617,267.05
2935,204.52
2895,200.24
4511,308.72
1774,118.87
1285,88.34
4291,286.34
2324,168.46
1546,106.36
3267,232.05
2087,152.38
2042,114.06
2400,183.0
3132,205.02
2311,146.0
2199,192.52
1247,93.79
4086,296.28
2610,174.53
2307,153.74
772,42.32
552,40.8
3922,243.08
1513,102.2
3141,224.37
740,68.11
2392,146.48
1486,120.98
1273,92.0
2921,182.23
4639,326.66
3424,248.71
538,51.8
3877,269.7
1169,93.75
533,27.79
2685,195.63
3932,277.15
1895,122.25
2502,169.51
4376,331.47
4224,287.76
2106,156.87
1307,93.57
202,18.76
2856,219.59
3703,274.9
4134,282.88
4190,309.36
3593,251.01
4551,342.34
1359,106.67
3827,275.16
4582,343.33
2211,190.48
192,25.0
1181,80.68
1025,65.09
1677,135.85
2596,163.86
1634,101.82
299,34.56
2911,186.04
2928,188.64
1164,88.48
180,21.23
964,67.35
3283,218.8
312,31.24
4569,321.82
2739,187.75
3970,265.81
2767,200.35
3517,244.28
2764,201.5
884,79.46
4739,352.46
1532,124.94
1467,95.73
200,0.0
1801,121.81
2844,200.42
1260,107.05
4903,342.64
4946,362.71
1572,112.08
4204,298.18
2981,233.38
1492,127.05
808,38.68
455,35.08
4563,319.39
1390,75.9
2293,170.03
4229,295.73
4883,356.7
4457,297.93
2270,168.56
3167,200.99
4988,353.27
861,50.93
2108,140.31
2513,188.46
4868,297.55
4105,297.72
3649,233.75
4546,320.68
3773,237.79
150,4.58
253,20.21
661,40.7
1154,94.89
3778,222.2
774,67.31
4519,332.9
3912,280.24
363,0.0
1961,125.2
2227,160.9
3220,216.6
2255,147.74
1713,135.43
2129,144.88
4073,287.97
4512,290.87
1973,130.33
2627,188.46
4174,289.8
4751,343.28
2375,177.37
2379,202.12
2759,191.14
4159,280.68
2781,207.47
2241,166.57
3914,268.7
3197,234.67
2597,165.41
2064,148.12
338,22.07
2264,152.5
4856,331.51
4039,304.25
3369,227.68
4958,345.44
4611,320.38
1368,83.76
4787,334.43
1020,89.68
2060,120.69
2619,183.4
400,51.37
1765,94.25
3175,213.24
4669,336.69
3437,207.96
580,16.32
1738,107.85
2296,150.68
488,28.7
912,68.65
1299,75.07
4477,299.16
1270,90.96
3598,268.14
2938,201.53
4492,337.03
4662,324.57
847,59.11
3057,204.64
1492,110.04
504,53.07
2726,199.62
2228,142.89
2418,170.31
4190,281.63
113,5.88
2886,215.72
4359,298.74
4793,344.19
2531,196.52
3187,224.29
3572,242.17
1001,98.39
648,17.98
3387,241.72
4859,323.89
3011,213.61
3683,271.52
166,14.58
2185,182.12
3387,259.5
4983,352.42
3510,279.8
2119,154.63
4321,296.83
100,0.0
2552,186.45
1685,121.98
621,48.21
3457,237.19
4480,318.85
3174,256.97
1359,99.62
239,34.4
3776,281.3
1064,54.8
311,26.87
2191,148.09
1638,97.56
4597,291.94
3997,302.69
1707,135.59
3082,202.41
3740,257.29
4960,352.29
3956,282.65
3443,240.06
4177,283.55
343,42.05
4807,316.5
1187,66.16
3291,233.16
1449,100.62
552,28.44
2802,166.55
4006,289.14
3141,201.79
4895,334.8
2691,200.58
355,21.17
3270,207.16
4787,322.38
2724,215.82
2301,156.57
3086,211.06
2077,157.6
2969,200.08
3820,306.69
1025,75.85
4624,332.36
4084,269.1
3921,268.19
197,20.89
1456,104.47
4216,288.25
1805,134.8
3032,226.73
3805,294.64
954,53.59
4502,352.51
3982,305.18
2436,199.61
1087,71.29
3192,230.67
1014,82.27
3281,220.47
4434,291.42
3389,227.41
2722,199.3
2414,164.04
1532,140.5
4898,350.26
3978,287.51
3885,262.31
1439,106.04
2660,183.75
990,55.09
149,11.33
4266,325.68
3828,253.93
3396,220.54
1269,60.95
1743,83.02
172,31.57
3130,233.74
1149,108.48
2616,184.31
2520,167.24
2259,151.71
4291,297.62
3456,251.29
710,70.71
2971,233.81
850,65.17
3495,236.56
4226,303.28
752,40.03
4004,270.26
1847,140.8
1157,67.52
1410,91.31
2061,122.02
2622,179.78
4237,320.01
931,75.45
2826,205.58
2011,130.16
740,45.52
830,26.4
3116,229.26
3521,257.65
2735,202.09
4716,350.71
3458,247.71
2315,142.6
1126,81.03
611,61.24
598,48.01
2053,146.27
269,15.99
1871,148.77
2508,160.71
3598,235.1
110,19.94
1131,88.57
2888,222.49
4990,327.04
3500,254.93
1708,126.61
2277,173.29
1184,88.26
2612,197.49
3429,223.93
1629,124.52
1339,91.33
4937,355.6
3622,243.74
4089,289.2
3332,240.27
3994,284.14
2089,149.64
4889,331.14
2061,138.64
3979,248.17
1967,135.06
1396,101.42
644,45.49
1102,61.56
211,29.0
2516,182.05
2461,173.68
1987,129.8
2577,167.91
233,26.67
2497,187.72
1753,113.96
2137,123.89
841,64.43
3793,297.89
2705,175.44
2954,205.25
1611,115.28
560,38.87
3528,266.31
209,0.0
1002,91.94
4013,281.34
4017,287.96
2458,174.34
396,26.18
1662,108.76
4640,321.38
3963,307.84
3743,279.42
1713,118.94
1557,120.27
3053,223.68
1987,108.4
2006,133.28
3521,224.96
213,15.37
4065,302.56
4793,344.4
989,71.66
4097,276.29
1851,105.62
1373,103.77
4104,287.28
2097,149.69
1132,77.65
2637,186.58
3928,271.07
3133,221.61
1767,118.97
1063,93.89
306,15.62
2607,215.28
386,36.61
1236,65.62
1549,144.57
877,89.73
3608,218.83
980,68.53
1530,78.59
2867,181.24
2470,160.07
3987,287.53
294,19.88
125,19.15
3225,245.0
1474,81.01
1091,86.17
2986,221.58
2691,163.12
4476,342.24
3288,238.52
853,60.17
985,64.06
3122,251.13
4982,333.43
3804,306.17
1738,81.87
567,27.08
3825,266.16
4733,345.53
1514,95.56
4973,337.36
1853,132.08
103,0.0
3289,242.11
634,17.5
4028,266.69
4910,333.1
1217,84.68
2793,194.51
3447,278.95
2639,187.04
2892,198.85
2800,190.34
990,76.7
3392,212.83
4040,259.86
120,0.0
2103,133.11
4726,356.89
2949,198.33
752,30.23
4257,301.64
3227,244.91
3285,237.52
4902,351.86
2824,218.13
1186,79.14
1235,67.34
4343,313.12
3232,226.2
4843,325.24
3739,234.58
4877,356.34
3962,262.08
1259,93.79
2458,165.93
4273,318.04
3035,223.07
249,24.22
1533,111.41
4721,306.92
4341,305.61
3819,259.65
1433,101.98
1614,109.53
4869,318.83
4133,288.5
4918,319.58
2074,160.56
1959,144.08
517,26.08
4115,279.07
4925,310.29
1331,94.26
1526,98.9
2041,167.89
3558,250.44
387,45.35
2268,157.6
3056,232.77
2822,185.95
3862,278.63
1754,116.88
4589,340.65
1847,117.12
4972,341.07
3545,254.46
4846,329.69
3683,271.46
2843,207.5
4915,381.44
2661,206.76
3955,282.93
3529,239.22
4277,309.77
2985,205.72
706,77.38
4839,337.88
1275,71.43
4589,321.78
3600,256.64
2278,161.42
4661,339.8
3290,213.53
4545,320.0
2276,143.67
2857,156.34
4112,281.81
2417,156.0
2956,229.5
2153,152.61
972,69.12
1957,140.18
2281,163.87
322,48.48
1327,77.75
4836,307.85
2182,147.0
4766,330.71
1334,96.74
2908,228.51
3433,247.96
2405,170.77
2522,188.8
1296,81.16
981,43.44
3135,207.11
377,29.06
4359,340.61
2661,185.54
4718,342.26
249,42.29
2520,191.34
2156,163.03
2008,148.69
4186,279.76
681,60.71
968,81.61
528,0.41
1710,123.9
3182,219.21
2456,159.12
313,25.16
1148,75.58
553,64.19
1807,129.72
1242,69.05
1179,105.96
1780,106.39
1906,169.74
4992,353.47
512,25.05
1462,113.28
779,57.85
2312,145.91
3497,237.42
3629,277.33
4816,344.9
1535,90.2
1783,140.79
964,77.27
2850,172.53
2707,206.84
4358,325.99
1943,128.33
337,31.48
1752,153.09
4615,311.53
4081,308.25
726,71.04
3369,220.85
3390,214.46
1799,117.27
4847,324.29
1700,108.39
2601,194.63
4276,309.43
4136,300.31
2634,179.76
2988,251.06
115,33.15
3637,258.94
1952,146.9
1820,131.76
2101,151.1
1553,122.19
909,63.23
3833,259.88
3543,252.84
1309,85.3
2487,170.09
213,0.0
1975,144.67
2202,159.02
628,47.77
2085,140.99
4357,310.22
4489,318.28
1750,114.15
4451,329.4
3687,235.78
1589,125.79
2285,165.41
3742,272.7
1766,118.79
1671,109.71
1823,121.28
2480,185.63
4774,337.63
2415,156.34
4590,320.9
2542,177.83
3342,250.38
1872,108.48
1042,73.36
4788,342.0
497,16.01
4388,290.22
3799,262.59
1801,105.89
4501,307.72
897,53.54
3717,271.66
4888,344.11
4084,305.92
2361,172.14
545,56.56
4464,308.63
2739,215.75
383,7.2
332,0.0
2654,180.02
971,92.27
2892,215.87
1106,68.42
2486,153.95
4319,270.04
2567,176.38
3144,209.73
3318,240.08
4155,305.87
1480,102.22
912,47.4
509,39.36
486,52.9
1199,87.39
3323,231.56
2999,195.68
1942,153.18
1586,114.94
2935,202.29
4346,297.2
1822,128.93
342,0.0
1685,87.13
1923,123.78
3998,291.26
2881,189.42
4022,280.31
1615,117.01
4889,337.16
3687,222.63
4599,329.3
2220,192.87
1917,115.42
630,58.51
610,11.51
1366,112.09
1034,40.28
1069,76.86
1723,121.24
4360,318.91
2311,177.88
2904,198.97
716,40.5
1467,94.67
1009,66.23
2354,168.02
152,14.48
2937,197.23
343,31.51
1692,128.41
104,43.6
3823,287.02
791,62.97
613,39.29
3593,224.62
1151,55.19
4264,309.65
1796,126.0
1997,124.86
2934,202.86
2367,157.54
4679,325.53
4801,321.53
2902,212.55
3503,240.37
1090,90.38
2776,190.29
2044,144.86
4411,306.7
543,28.88
4355,275.15
1601,130.37
3079,226.58
1292,79.27
2290,171.91
2198,121.4
1239,88.5
4386,306.8
4545,334.97
2174,161.05
2568,161.63
3162,230.39
1664,127.74
4962,360.57
1940,129.38
2727,224.71
592,40.52
3270,231.34
1141,66.98
4747,365.37
148,0.0
1156,70.9
2666,209.42
2574,172.5
2895,198.77
2138,144.29
2959,220.1
3389,244.89
1380,106.15
4302,326.73
4592,331.51
1005,77.12
4346,311.59
3934,289.72
4466,296.89
1647,116.35
4308,322.27
4435,266.57
1843,129.79
4825,345.57
2867,193.84
1010,53.9
1978,138.56
1770,145.11
2539,171.92
1889,119.7
3287,233.89
2112,112.41
2049,133.11
4861,327.37
4592,337.48
268,25.32
2384,174.3
3316,225.07
3984,280.75
3141,234.02
4160,302.97
2464,158.52
3672,245.52
4301,311.16
2154,148.72
3505,252.03
2055,147.48
2035,139.9
370,37.54
523,16.09
977,66.13
3207,206.74
3357,231.95
