month,total_revenue
8,111347.62
9,148497.13
10,157053.12
11,164936.22
12,191839.55
1,15618.95
2,23109.73
3,57184.99
4,64311.28
5,66702.03
6,88477.29
7,97995.05
8,108937.6
9,142409.42
10,165275.33
11,153811.46
12,184503.75
1,9794.86
2,26103.0
3,40260.85
4,53088.07
5,75388.17
6,83352.4
7,107163.65
8,119598.1
9,133088.42
10,142739.49
11,160385.83
12,186043.13
1,19007.34
2,22179.56
3,45794.66
4,66011.1
5,61644.76
6,94346.88
7,99699.01
8,124564.79
9,128893.93
10,135560.94
11,151979.66
12,180384.68
1,17077.78
2,22765.47
3,50108.74
4,46707.84
5,74471.36
6,80311.87
7,99785.31
8,120379.19
9,128116.69
10,146923.56
11,173050.34
12,175384.87
1,21685.54
2,20962.35
3,49238.43
4,71532.55
5,55226.84
6,83624.84
7,109616.58
8,118375.64
9,137969.17
10,145168.12
11,165692.72
12,178754.58
1,24342.26
2,32035.37
3,47700.82
4,56704.98
5,71099.15
6,86539.53
7,108155.62
8,116632.12
9,137318.2
10,166603.21
11,171969.0
12,177391.81
1,24609.71
2,26735.4
3,28695.0
4,51935.31
5,60033.66
6,87187.89
7,105147.35
8,133411.5
9,137615.42
10,148247.2
11,171635.24
12,162310.92
1,16884.92
2,36166.92
3,33171.31
4,69150.03
5,77707.97
6,86677.7
7,110062.25
8,138165.54
9,136454.93
10,151985.76
11,161325.11
12,173201.25
1,21642.69
2,23151.33
3,45572.53
4,56178.74
5,78831.84
6,92669.3
7,113300.32
8,115919.87
9,132841.0
10,142169.89
11,161445.65
12,183018.4
1,21055.91
2,22622.68
3,51956.85
4,70845.1
5,78307.48
6,105014.37
7,98809.69
8,110042.76
9,120770.24
10,161968.35
11,170234.93
12,179555.32
1,17239.75
2,20996.09
3,64566.02
4,61033.77
5,75875.16
6,95806.13
7,108848.07
8,121791.07
9,128676.2
10,153771.75
11,180056.2
12,190763.36
1,27745.49
2,25910.27
3,37083.16
4,58993.7
5,75445.8
6,98753.53
7,91460.28
8,132236.4
9,133735.94
10,146584.95
11,156903.16
12,166761.15
1,21585.36
2,30586.54
3,34680.31
4,49639.37
5,72313.72
6,103352.17
7,102923.27
8,107974.86
9,133034.06
10,147818.21
11,143424.91
12,179565.64
1,13152.52
2,35569.65
3,59791.65
4,69012.52
5,72848.89
6,81147.79
7,125586.88
8,120473.75
9,135111.43
10,149807.0
11,166584.68
12,178845.12
1,10410.7
2,25625.13
3,44737.97
4,55652.6
5,69297.23
6,90851.44
7,102960.18
8,132031.94
9,113792.24
10,158732.05
11,174968.68
12,163412.88
1,12258.5
2,27028.47
3,33739.91
4,53777.47
5,66115.39
6,104018.16
7,112485.43
8,130172.44
9,140773.38
10,140967.59
11,160803.84
12,183915.0
1,5222.98
2,35703.99
3,43077.4
4,57001.43
5,80687.68
6,93554.11
7,102112.27
8,129274.64
9,126351.49
10,154927.48
11,169744.81
12,177523.63
1,17609.06
2,19991.09
3,52392.22
4,58520.78
5,70818.22
6,98392.07
7,99365.25
8,108732.31
9,122546.97
10,154848.08
11,154756.57
12,194038.35
1,-1655.44
2,43571.65
3,46688.14
4,59226.3
5,70640.65
6,93193.09
7,104698.92
8,128826.42
9,135913.82
10,151202.41
11,162091.1
12,179544.44
1,17462.41
2,16318.65
3,34214.52
4,65946.11
5,76366.92
6,88528.13
7,105147.47
8,122780.65
9,130681.92
10,143773.56
11,166566.76
12,172173.02
1,18266.02
2,16379.33
3,53233.25
4,63780.78
5,77048.24
6,97861.53
7,118323.8
8,128114.96
9,120273.01
10,139763.38
11,160001.45
12,180208.73
1,19141.27
2,24194.05
3,46494.13
4,53956.94
5,70107.86
6,78746.71
7,97614.13
8,109186.52
9,127193.01
10,158429.13
11,157404.81
12,201059.06
1,18946.54
2,31478.69
3,38133.14
4,65602.48
5,70394.9
6,90976.08
7,125480.68
8,119231.52
9,144194.19
10,144374.59
11,164720.09
12,194166.41
1,9984.26
2,44499.59
3,50662.02
4,55500.27
5,80059.26
6,97780.44
7,109974.48
8,107438.2
9,129182.9
10,148019.85
11,164404.53
12,184965.38
1,16421.61
2,19317.25
3,48041.58
4,64884.69
5,79478.32
6,98646.25
7,111671.38
8,123673.44
9,134438.67
10,136712.31
11,168436.95
12,181661.5
1,17172.63
2,19786.01
3,36351.55
4,68425.22
5,74683.56
6,95452.01
7,105226.55
8,120238.05
9,142506.27
10,145871.64
11,165768.97
12,176301.8
1,11524.03
2,27526.62
3,46777.07
4,56170.01
5,85046.05
6,82843.14
7,103505.03
8,116482.15
9,146575.82
10,151572.44
11,173254.76
12,168115.52
1,17136.4
2,37117.05
3,45658.27
4,68523.84
5,70861.69
6,101274.78
7,123391.18
8,117097.29
9,131435.98
10,161627.08
11,177636.58
12,175817.12
1,11638.51
2,27745.72
3,34244.4
4,52650.78
5,66966.87
6,83857.62
7,104722.52
8,121873.72
9,147404.0
10,142013.17
11,172874.58
12,178288.09
1,14604.29
2,35398.56
3,36018.22
4,63059.28
5,76331.62
6,93939.61
7,107313.35
8,139642.4
9,129898.08
10,145752.02
11,160014.88
12,175556.18
1,9900.9
2,39512.13
3,56364.03
4,55434.03
5,68341.16
6,93771.32
7,100582.22
8,125063.45
9,136623.38
10,137874.05
11,177380.04
12,194367.02
1,10097.69
2,26898.39
3,47286.92
4,62675.65
5,80268.35
6,106081.64
7,103584.42
8,113613.62
9,123965.45
10,144152.56
11,164734.98
12,194356.46
1,10859.11
2,31790.3
3,44868.62
4,69507.15
5,95215.46
6,85753.05
7,101084.48
8,128353.29
9,140455.13
10,164773.66
11,169671.43
12,177125.66
1,19725.24
2,38869.63
3,51563.86
4,64058.19
5,83533.4
6,99354.36
7,116057.27
8,125189.68
9,133663.06
10,151173.71
11,174652.07
12,173464.51
1,17949.39
2,26853.29
3,45229.96
4,70227.61
5,76528.79
6,90371.49
7,94121.15
8,125970.03
9,140163.87
10,167306.04
11,162537.77
12,181753.2
1,16995.07
2,42619.63
3,44237.64
4,62232.17
5,79863.17
6,91492.87
7,101428.53
8,121552.72
9,143589.05
10,141787.88
11,166063.76
12,174399.03
1,24560.37
2,17814.5
3,40528.63
4,63017.7
5,87524.19
6,89474.0
7,100558.4
8,135049.26
9,123415.89
10,132409.55
11,168520.12
12,175983.57
1,6830.14
2,35666.85
3,46950.41
4,55487.37
5,64757.56
6,96979.66
7,110201.61
8,119206.59
9,149773.1
10,141439.32
11,152795.8
12,174464.74
1,14635.31
2,31946.72
3,43070.11
4,62816.44
5,64987.68
6,101550.12
7,104342.79
8,128938.37
9,137741.8
10,153654.03
11,169558.14
12,183581.67
1,20141.78
2,40633.22
3,46572.17
4,65672.03
5,74282.11
6,101520.94
7,99588.86
8,134407.52
9,134678.74
10,138553.8
11,166024.84
12,174551.59
1,21725.15
2,24779.01
3,41430.53
4,44883.67
5,71381.55
6,70608.97
7,92328.78
8,126083.32
9,141286.4
10,153403.66
11,157264.19
12,179618.31
1,14971.18
2,20733.08
3,57027.19
4,67018.9
5,73232.29
6,90215.09
7,106667.06
8,103666.12
9,133022.58
10,144544.13
11,156987.04
12,177751.2
1,29381.49
2,35126.74
3,40430.57
4,64580.66
5,86194.84
6,97397.07
7,105477.04
8,114824.51
9,140585.79
10,153147.88
11,172161.55
12,185081.37
1,23396.42
2,25718.12
3,55539.15
4,61580.8
5,91602.09
6,84486.5
7,118887.71
8,121583.29
9,129788.66
10,146128.91
11,162437.22
12,183393.33
1,19182.68
2,25410.4
3,44805.16
4,77138.16
5,88820.35
6,93490.59
7,105304.03
8,120960.25
9,139908.14
10,141817.66
11,162940.99
12,166651.33
1,18193.78
2,35177.57
3,41134.51
4,72591.89
5,65193.87
6,78285.0
7,106795.61
8,128376.79
9,148471.42
10,146328.93
11,173629.45
12,179691.93
1,13618.98
2,37069.28
3,50218.58
4,47388.86
5,86812.32
6,101040.73
7,99995.5
8,123166.43
9,138952.24
10,152085.39
11,160597.56
12,174627.01
1,14795.57
2,39381.83
3,49348.8
4,57035.09
5,81173.59
6,67211.66
7,114190.13
8,106082.29
9,132100.47
10,141042.64
11,154642.55
12,189286.61
1,11258.39
2,32772.03
3,44624.64
4,63816.33
5,75614.58
6,79736.06
7,112970.13
8,116049.95
9,122547.34
10,146575.08
11,177006.08
12,186801.77
1,12210.78
2,27205.94
3,42426.92
4,76613.98
5,78055.48
6,93440.33
7,113242.27
8,121910.31
9,132927.66
10,148429.2
11,164427.19
12,179702.22
1,20821.04
2,30415.57
3,50861.12
4,59354.27
5,75629.08
6,74014.39
7,112330.62
8,122771.91
9,142984.08
10,126829.96
11,181707.0
12,178883.28
1,23865.46
2,21680.75
3,49902.19
4,51572.68
5,70009.85
6,105312.25
7,103474.54
8,121739.46
9,141960.54
10,153965.46
11,166203.35
12,182919.69
1,34227.32
2,29539.05
3,46608.79
4,68405.24
5,83844.21
6,99496.24
7,110109.84
8,110855.96
9,148067.45
10,140829.24
11,167421.08
12,173965.79
1,14486.89
2,32630.1
3,47570.86
4,63375.37
5,87909.69
6,93628.27
7,103046.75
8,127712.7
9,144515.76
10,140179.14
11,169779.2
12,185609.38
1,12619.49
2,41005.65
3,43799.56
4,61004.61
5,73615.43
6,90124.63
7,96229.8
8,108479.59
9,147756.04
10,143224.31
11,157068.86
12,162772.88
1,9888.31
2,19415.28
3,58136.12
4,68078.54
5,69494.8
6,108019.49
7,112854.12
8,117401.35
9,115004.75
10,168327.54
11,153883.42
12,166836.81
1,23180.56
2,49518.02
3,56074.18
4,64511.27
5,79758.03
6,96827.32
7,111071.43
8,122249.53
9,135833.61
10,149499.25
11,158968.28
12,177754.6
1,1456.35
2,29213.28
3,37091.27
4,51171.29
5,76439.15
6,101136.02
7,112346.53
8,107436.0
9,127082.97
10,157526.17
11,157140.1
12,178202.93
1,19400.42
2,22253.24
3,45843.0
4,49327.8
5,70189.06
6,92558.26
7,92256.05
8,123523.8
9,134842.9
10,154419.92
11,166791.31
12,190913.12
1,16001.8
2,26564.76
3,45978.38
4,64346.38
5,75390.88
6,90324.73
7,99384.07
8,114696.79
9,123779.16
10,163996.61
11,155049.09
12,174456.76
1,9252.74
2,37159.4
3,42640.4
4,69981.94
5,69612.08
6,92231.95
7,98317.22
8,137161.19
9,125499.21
10,152478.57
11,170070.22
12,183310.39
1,13517.7
2,28961.43
3,45350.49
4,58823.98
5,82711.03
6,107684.18
7,100540.07
8,109041.58
9,134293.74
10,170637.67
11,158570.6
12,193112.93
1,28421.61
2,25571.29
3,49551.86
4,73027.17
5,71966.98
6,88371.36
7,100346.55
8,111881.95
9,129805.78
10,140208.48
11,165272.67
12,173840.21
1,16870.29
2,17552.83
3,47647.04
4,66668.23
5,59050.11
6,92992.45
7,114821.35
8,110322.87
9,148380.58
10,153352.15
11,159359.91
12,179553.85
1,19466.62
2,30608.04
3,49310.05
4,52634.61
5,76354.89
6,78690.28
7,104110.19
8,112768.74
9,129115.76
10,159888.75
11,173730.48
12,184873.1
1,6261.5
2,27468.73
3,54704.78
4,61133.74
5,93554.64
6,93146.54
7,106536.39
8,117527.07
9,136068.33
10,148780.24
11,170664.87
12,187653.62
1,8712.08
2,19350.14
3,30310.36
4,64063.93
5,66173.07
6,72776.88
7,108108.63
8,139944.0
9,134951.43
10,156707.93
11,165654.63
12,179208.88
1,22352.61
2,27677.8
3,47139.14
4,62573.58
5,69655.28
6,97936.34
7,103600.32
8,113954.04
9,139292.08
10,142812.26
11,165225.45
12,179927.05
1,23687.16
2,33797.59
3,44799.78
4,66542.13
5,86121.66
6,94462.48
7,105082.82
8,109505.31
9,126479.09
10,147558.2
11,160123.9
12,178504.23
1,15453.2
2,34237.54
3,44436.01
4,63892.01
5,75515.8
6,74196.27
7,97485.32
8,118847.3
9,125322.44
10,154799.43
11,177246.01
12,189750.09
1,13292.46
2,41925.81
3,46189.34
4,57303.31
5,70092.78
6,87580.24
7,101894.59
8,121363.33
9,136284.59
10,150024.37
11,168495.51
12,189525.17
1,22596.43
2,18120.82
3,24568.63
4,67474.56
5,64064.97
6,88201.88
7,95639.1
8,105584.16
9,139331.7
10,156073.24
11,160387.92
12,159271.66
1,10630.04
2,33134.43
3,33168.71
4,61466.88
5,74877.52
6,94634.33
7,105956.64
8,112215.45
9,144572.57
10,148731.76
11,164781.56
12,172533.86
1,11453.74
2,22921.58
3,43616.43
4,73693.67
5,64024.79
6,77091.51
7,116769.36
8,118325.41
9,129647.42
10,158319.24
11,160155.08
12,194608.08
1,20423.41
2,26096.71
3,62258.47
4,55154.28
5,80936.76
6,92394.34
7,115413.93
8,132492.09
9,135256.03
10,143972.66
11,168679.78
12,174578.28
1,31107.1
2,31092.28
3,42077.43
4,61477.44
5,64222.99
6,82227.09
7,114603.31
8,114744.85
9,126624.71
10,154293.22
11,174485.63
12,185751.63
1,22968.38
2,23945.64
3,33625.51
4,72010.67
5,72418.56
6,87993.34
7,115625.55
8,124449.84
9,138647.1
10,167320.02
11,159851.85
12,187422.72
1,15456.1
2,32148.74
3,57227.75
4,64062.69
5,79306.37
6,98580.06
7,102080.38
8,113286.32
9,126641.53
10,134269.15
11,181449.66
12,171174.33
1,13229.97
2,27785.49
3,47459.25
4,66525.9
5,81883.79
6,85335.38
7,103663.03
8,122260.64
9,133010.47
10,162858.76
11,168927.8
12,185879.02
1,20303.05
2,39387.79
3,46448.17
4,49625.34
5,78197.5
6,84789.14
7,100771.07
8,124690.91
9,144906.26
10,150170.17
11,167470.66
12,193617.72
1,16926.03
2,50813.46
3,49524.08
4,45913.9
5,81026.73
6,93049.27
7,115318.02
8,125385.45
9,133892.35
10,140205.61
11,163327.81
12,173195.84
1,10355.81
2,34708.63
3,58359.24
4,63157.37
5,65432.94
6,93556.82
7,114573.05
8,115121.74
9,133927.86
10,150117.51
11,158720.81
12,185186.24
1,14032.41
2,33356.26
3,37900.06
4,56500.33
5,80779.05
6,87017.33
7,118815.71
8,116802.91
9,136797.48
10,157460.73
11,153653.07
12,165913.53
1,2794.75
2,40100.67
3,40585.13
4,80465.59
5,70486.02
6,91476.41
7,117336.88
8,136048.74
9,151492.03
10,159666.93
11,173192.5
12,184740.22
1,21226.89
2,25590.51
3,38454.41
4,59973.0
5,73638.52
6,86374.18
7,110571.1
8,127642.44
9,135707.26
10,161820.24
11,155866.49
12,178450.72
1,9265.42
2,15067.71
3,44338.55
4,59026.02
5,87107.6
6,95046.49
7,96806.51
8,134832.74
9,144768.27
10,154656.78
11,163188.13
12,172324.49
1,12022.35
2,38709.99
3,60076.69
4,72345.95
5,71089.2
6,81043.06
7,106127.09
8,105852.49
9,137585.34
10,148819.18
11,161271.71
12,167242.38
1,19108.8
2,25738.39
3,35640.67
4,37021.9
5,74779.88
6,104178.01
7,118290.07
8,116343.23
9,130182.3
10,153750.19
11,157012.92
12,182414.34
1,21128.64
2,39815.47
3,44198.77
4,58370.61
5,67976.14
6,83384.96
7,103188.17
8,122938.92
9,142308.68
10,143574.57
11,176941.51
12,177831.01
1,14829.06
2,24022.31
3,25606.08
4,67072.36
5,80894.75
6,87749.38
7,105535.93
8,124127.51
9,122499.63
10,145767.58
11,171354.12
12,169965.68
1,17348.46
2,19147.35
3,48731.44
4,59714.87
5,62078.95
6,99317.91
7,99123.27
8,113517.98
9,136604.55
10,159189.1
11,156873.43
12,180493.44
1,18430.53
2,35544.84
3,46411.53
4,57063.78
5,68379.28
6,90689.15
7,96422.89
8,96629.2
9,138492.48
10,157231.48
11,146096.54
12,171922.15
1,19953.23
2,46459.96
3,45166.35
4,54175.98
5,73536.83
6,100999.01
7,99832.29
8,113606.46
9,131138.05
10,142373.37
11,165981.36
12,192997.43
1,17584.63
2,27981.17
3,42665.51
4,47494.47
5,82064.88
6,89377.3
7,103556.16
8,145544.86
9,137390.02
10,143985.67
11,161589.14
12,189187.57
1,15906.16
2,18493.78
3,52353.83
4,54654.85
5,89986.38
6,98640.38
7,101421.42
8,130248.13
9,135542.84
10,156822.19
11,168877.86
12,173229.15
1,9851.6
2,38239.69
3,42321.8
4,56770.81
5,67359.02
6,93388.79
7,121500.2
8,111459.74
9,135193.76
10,161297.76
11,164362.87
12,183618.97
1,6500.85
2,33426.46
3,43502.85
4,67885.84
5,84499.09
6,110716.51
7,109637.07
8,122606.37
9,136555.07
10,147174.67
11,167707.87
12,177636.79
1,16347.69
2,40540.78
3,36947.66
4,69119.03
5,85536.92
6,89055.45
7,88025.16
8,115137.42
9,145375.96
10,149817.06
11,157005.58
12,175961.8
1,21724.96
2,34373.87
3,43088.54
4,57065.4
5,71865.93
6,82620.72
7,117923.01
8,117421.44
9,144737.27
10,162170.53
11,172986.49
12,176547.04
1,18229.84
2,29806.44
3,37770.39
4,62594.87
5,65567.68
6,99501.44
7,101283.06
8,121609.28
9,137266.3
10,147928.76
11,169693.55
12,176200.77
1,21970.38
2,19232.16
3,46011.04
4,75511.43
5,66997.35
6,84578.04
7,109111.26
8,121436.65
9,137805.04
10,153913.5
11,170077.77
12,188877.6
1,18278.55
2,28069.94
3,50380.59
4,75199.06
5,73938.93
6,82203.77
7,113856.65
8,119036.95
9,117618.64
10,156779.37
11,160717.37
12,179275.73
1,17655.84
2,31524.0
3,50675.61
4,56516.11
5,79104.85
6,87923.63
7,110910.48
8,124922.94
9,127516.49
10,158687.86
11,160712.29
12,186464.46
1,17938.3
2,44705.47
3,43212.27
4,57205.47
5,74844.64
6,87574.56
7,111399.54
8,107069.52
9,126570.54
10,141457.58
11,172602.46
12,193684.91
1,14164.41
2,28649.43
3,45560.42
4,69295.03
5,67581.17
6,91906.95
7,112801.58
8,124008.75
9,136516.65
10,158008.37
11,143374.14
12,185423.0
1,9767.39
2,15354.94
3,49089.62
4,70989.27
5,73900.41
6,97623.0
7,117898.23
8,130519.32
9,148119.72
10,155937.02
11,165603.47
12,167184.27
1,13031.5
2,23254.03
3,62367.54
4,58592.91
5,75985.64
6,94411.88
7,105348.82
8,133560.41
9,130018.81
10,151556.86
11,159060.24
12,169439.82
1,10105.85
2,29703.71
3,41565.58
4,54460.63
5,63749.46
6,89335.16
7,92962.24
8,126080.45
9,135659.52
10,138339.59
11,162526.33
12,173982.75
1,17553.4
2,40723.6
3,29998.62
4,60920.21
5,73718.94
6,95370.72
7,106705.57
8,113984.25
9,132447.57
10,143631.79
11,173608.06
12,180170.49
1,30209.53
2,29514.71
3,39332.75
4,47890.28
5,60574.88
6,77326.91
7,107137.01
8,124069.8
9,122350.47
10,157160.31
11,161135.51
12,181174.34
1,27897.77
2,37174.71
3,42851.75
4,52870.46
5,57785.48
6,84246.77
7,103310.96
8,112102.56
9,133949.94
10,150614.82
11,163201.15
12,174799.98
1,16349.24
2,33535.53
3,36276.81
4,71287.46
5,74211.29
6,90150.8
7,110665.72
8,121865.73
9,142625.09
10,152296.99
11,160100.5
12,182892.03
1,5850.19
2,30868.48
3,44734.16
4,58335.07
5,73971.7
6,74945.21
7,100610.2
8,120742.76
9,136278.85
10,141778.6
11,175125.66
12,173070.6
1,22755.66
2,33417.55
3,39830.18
4,74202.49
5,65450.91
6,97353.23
7,113004.66
8,114635.04
9,146139.72
10,147999.63
11,167309.55
12,182082.57
1,13925.53
2,36486.47
3,51347.91
4,46011.74
5,85434.72
6,76700.06
7,113260.37
8,129013.64
9,126272.27
10,146713.49
11,156154.36
12,178280.63
1,12535.73
2,36237.28
3,55482.47
4,71165.47
5,70502.66
6,88326.23
7,91532.49
8,113553.04
9,142718.81
10,162924.66
11,155125.21
12,175260.29
1,14788.75
2,32241.29
3,38523.17
4,63392.49
5,71209.29
6,89884.38
7,109370.27
8,120051.38
9,131508.91
10,149123.12
11,164293.1
12,177039.91
1,12929.63
2,42789.18
3,49487.36
4,57636.16
5,80575.64
6,87329.44
7,114385.0
8,122957.14
9,134141.58
10,153581.74
11,152432.99
12,170985.86
1,5448.6
2,31143.54
3,58860.12
4,77850.4
5,80104.41
6,94006.76
7,90591.54
8,115658.61
9,128697.73
10,145033.22
11,163654.85
12,176223.28
1,-834.4
2,35983.28
3,36418.06
4,61913.97
5,91592.66
6,82644.92
7,84757.7
8,117711.97
9,143807.68
10,165666.78
11,155163.6
12,183973.59
1,11277.52
2,29152.41
3,66154.75
4,47976.24
5,77029.92
6,93741.55
7,113686.29
8,120783.87
9,137464.4
10,146866.81
11,167153.02
12,177254.46
1,19972.58
2,27043.12
3,48016.8
4,59765.9
5,84008.4
6,89588.85
7,90815.74
8,130095.37
9,127754.14
10,144769.87
11,160234.71
12,190995.5
1,-2085.39
2,55101.99
3,53448.45
4,61785.91
5,74560.85
6,92284.43
7,109168.98
8,125161.72
9,139444.84
10,150716.65
11,163421.29
12,178789.81
1,13440.73
2,39070.16
3,49748.45
4,36476.89
5,80247.21
6,91557.89
7,104850.33
8,116891.85
9,143992.9
10,157580.21
11,158816.98
12,183256.42
1,7226.75
2,18963.05
3,39986.26
4,66899.15
5,82625.0
6,94104.68
7,110800.77
8,124129.43
9,129868.15
10,153455.38
11,171403.28
12,186034.33
1,24511.31
2,35666.43
3,47811.59
4,68561.2
5,74787.83
