Ad_Impressions,App_Installs
14848,5869
6557,4255
72318,14017
44424,10162
29210,8080
16646,7433
99766,15230
98740,16135
20419,7046
53229,12279
29442,8435
6992,4380
35444,8757
13239,5414
58733,12241
42394,9962
78223,13341
60370,13347
99504,15762
42537,10885
53929,12565
91788,14887
43682,10407
22669,7567
35070,9599
23086,8156
54316,12141
66724,13275
9088,4606
28650,8459
76681,13219
29832,8992
96352,16676
59226,12299
61085,13056
74441,14061
81210,13976
88900,14466
42178,9700
16123,6409
55242,12030
53585,11879
91187,14531
47051,11462
27410,8001
61139,12425
9753,4617
52468,10861
77536,13292
46224,11105
18855,6860
7048,3648
88757,14586
79416,14802
22159,7884
31287,9151
16652,7507
7219,5000
50610,11266
55324,11489
78918,15339
97729,16234
36060,9222
91348,14446
55102,10614
88413,14227
11575,5139
4801,4134
26566,8644
27579,8438
65406,13095
20167,6710
41092,9482
71411,13246
60388,12781
20044,7102
81733,14649
3626,3029
55528,11133
76535,13976
49706,10955
27608,8850
99115,14951
44956,11368
89866,14373
64301,12537
75873,13030
35809,9969
62789,11972
51812,11109
53476,12082
20812,6959
70604,13247
48512,11305
42581,10494
16958,6618
79574,13812
32359,8798
81794,14517
40745,9950
97101,15708
46918,9870
62801,12516
52495,11723
14169,6283
48709,10930
19996,7230
83156,14117
24078,8466
41282,9989
36208,10152
16452,6358
84526,13955
34833,9215
38363,9294
61036,12216
53510,11052
24398,7696
85860,15143
60859,13051
77316,13596
56499,12247
11011,6006
79695,13533
1293,941
35971,8792
77552,13900
73606,12478
33997,9793
50292,10096
23653,7685
62779,12688
79633,14456
56551,12455
84300,15338
64452,12890
68748,12813
17291,6669
30287,8900
67253,13087
8773,4444
74980,14295
83646,14267
97911,15586
30406,8298
13795,6336
65724,13916
50254,11809
17336,6047
86968,14341
48973,10284
2288,2544
39751,10209
26583,7815
62735,12247
33050,8139
13997,5859
93399,14932
74041,13261
89469,16100
93004,15582
56447,11865
92642,15330
86406,14446
75497,14223
50863,11140
30617,8206
22357,8291
72580,13077
44262,11545
35019,9810
38216,10114
98051,15176
44159,11242
14674,7253
28830,7983
12056,5449
63851,12186
78743,13858
6132,3830
77459,14563
87749,14099
62114,12821
5885,4215
68590,12637
31924,8946
4430,3041
97668,15687
41695,11135
45123,10185
94840,15547
61301,11919
20441,7512
44328,10688
5336,3950
81376,13999
17819,6104
63858,11840
25238,7948
97788,15904
54388,11858
27488,8658
75401,13460
44742,10528
41084,8962
86049,14599
8302,5426
53718,11681
7045,5198
68497,13303
82246,14838
73918,13950
5154,4006
18374,6941
66952,13364
37439,9421
64049,13325
54730,12477
78129,14173
62691,12339
25055,7311
68916,13318
54742,11689
43650,10123
68181,12564
87866,14295
94606,15410
19539,7231
38211,10035
94791,16998
29947,9017
67837,13579
57985,12043
19359,6261
9087,4555
53111,12418
7951,4045
71863,13445
24880,7911
10874,5986
43641,10718
21308,7604
46314,10687
9279,3699
76389,13623
25569,7985
39555,10031
21116,6925
19435,6267
36310,9911
1448,1743
20162,7096
61177,11500
46092,10615
96571,15896
59653,12370
74967,13485
14247,5699
5179,3505
80653,14381
50808,11446
15219,6448
70715,13707
99570,15834
98118,16525
93792,15644
34973,8979
58742,12286
64114,12928
12675,6009
11280,5097
63525,11626
55050,12456
47506,10849
8464,3551
58061,11910
57779,12390
51103,10768
46694,10263
28296,8286
38301,9838
68727,12817
99892,15619
79996,14548
17239,6572
21881,6655
46330,11356
80687,14110
48325,10537
94835,15304
10674,4503
85975,14666
46147,11015
4007,2878
2330,2260
46221,10454
24496,8189
59785,12103
95020,15121
85298,14675
57021,11800
95095,15349
36264,9119
35376,9715
76687,13644
17893,6541
68376,13168
63252,13556
8532,5036
21593,7012
57723,11386
20910,7392
52614,11176
76686,13731
93936,15233
77250,13841
38778,9738
69905,12981
87098,13685
43332,10501
94875,15710
21635,6883
88473,15232
69081,13295
84021,14554
16630,6540
79354,14455
36535,9829
23307,6844
50828,11920
81048,14512
70556,12785
13627,4943
5759,3189
98574,16322
65536,12744
66417,13279
18723,7856
25639,7429
97599,15023
71199,13333
72291,13593
22264,7844
63463,12132
39825,9646
15197,6854
39760,10173
46389,10926
15927,6088
33089,9753
48528,11545
54056,11610
1454,1074
19078,7376
91648,15404
16720,6511
34181,9829
55190,11974
35897,9324
95451,15948
98591,15810
87379,15241
47039,10915
12450,5859
24772,8609
94050,16032
28816,8221
43959,10947
18131,6428
83410,14838
41994,10180
82521,13609
71221,13488
2586,3068
2824,2959
26193,7661
8549,4758
70622,13221
65953,13247
68657,13618
29891,7997
18603,6869
6511,3584
68744,13209
23188,6920
29391,8541
16347,6534
67922,11887
71687,13253
58442,11339
71176,13754
64742,11751
5388,3493
82745,15040
74535,13127
93753,14943
25860,8003
71522,13398
75615,12587
83504,14318
61802,12777
23451,8733
81799,13919
83507,14301
66630,13110
77800,13539
25031,8651
55807,11794
89418,15062
88765,15165
87155,13905
90121,15148
65841,12514
79211,13637
59789,12455
26933,8770
27013,8217
98132,16431
64043,12536
53206,10672
25883,7461
34516,10052
83845,15369
28577,8634
76513,13522
87236,14615
62365,12465
2713,2611
62635,12792
30645,8924
17301,5981
44661,10003
53943,11885
61527,12202
46958,10795
89648,14979
4878,3221
25043,7978
43178,10735
58103,11988
44597,11245
31781,9695
51421,10915
14602,6246
49736,11031
10881,4834
21241,7269
11260,4238
63119,12951
81248,14686
31579,9000
90384,15515
46585,10442
84475,13140
6410,3762
88476,14264
69007,13140
59291,12895
11754,5568
37678,9576
18544,7364
85499,15466
8560,4848
50672,10931
5509,3773
45559,10751
43420,10324
42571,10961
48254,11406
73593,12987
6469,3390
27126,7968
47988,10456
32876,8832
96896,15563
55777,11719
96519,15619
37186,9475
22867,6863
98366,15198
23800,7186
14506,5625
98667,15909
21144,7072
97554,15152
4790,3416
55902,11967
42837,10477
70114,14443
31186,8533
36695,9765
60128,12794
37268,10435
91443,14994
72410,12555
14751,5919
29641,8786
13618,7156
51199,10619
90272,14995
89416,14612
90252,15479
82203,14027
96387,14757
84810,13532
90547,15175
26063,8111
33866,9462
76109,13861
43477,10579
74517,13880
28871,8079
22036,7422
31471,9124
37266,9175
67170,12079
24846,8055
53429,11465
37071,10296
67155,13286
38511,9653
76714,13173
77130,14559
29584,8991
58296,12716
10803,5679
17203,5949
51121,11536
25642,8483
58246,12122
24691,7695
24949,7665
71504,12988
86472,14650
52880,10872
9875,4056
6961,3897
78613,13726
2590,3664
98974,16412
73134,13420
51297,11309
30682,9284
78784,14027
48901,10963
48147,10845
56746,11838
26725,7615
39337,10490
94949,15275
86931,15371
56356,12410
99968,16044
56285,12479
60426,12187
20874,6946
94171,15020
52378,11479
57496,12338
1198,1922
14296,6937
90385,15285
3581,2717
48925,11140
96916,16016
80724,13969
64818,12413
81317,14832
56487,12271
18791,6873
93556,15035
98277,15531
2169,2477
11905,5822
59274,12692
11492,5447
60526,11698
60782,13051
82416,14945
36572,10050
39922,10674
63218,12983
23490,7721
92571,14664
45816,10314
52939,11311
95274,15823
39956,10789
54044,12316
13590,5602
37491,9617
54011,10944
96001,16326
44549,9826
83619,14371
70675,13985
59616,12405
14709,6347
48226,11104
49777,10288
63690,12842
74083,13918
49520,10845
22048,7798
73522,13326
26350,8804
10351,5066
39230,10186
47022,10991
23428,8015
87386,14835
19761,7387
51769,11731
69016,12524
78101,14300
64675,12489
13946,5826
92514,15083
22785,7345
97686,16324
45515,9980
59746,10859
56814,11638
75646,13657
12770,5246
58158,11583
91191,15446
61534,12460
43244,11660
30037,8271
50360,11412
99693,16065
85255,14455
37544,9152
69209,13106
78310,14269
51235,10985
14766,5954
46775,10750
23128,7208
74310,14276
31564,8963
18058,6619
6473,4430
7798,4492
25891,8647
43217,9956
94541,15675
31289,8832
36429,10215
75718,14242
86477,14849
63476,12747
19163,6880
14001,6483
79582,13838
58721,12086
70537,13596
90007,14630
2723,2102
45727,11146
34505,8570
98706,16174
84404,14358
90695,14452
93719,15990
7472,3422
96614,16100
3273,4304
12827,6515
40967,9966
56870,12692
64680,13285
18449,6379
44439,10053
31032,8933
59723,12491
18778,7372
33042,9587
74288,13739
11173,5035
34921,9799
18661,7394
22146,7511
48351,10900
23597,7440
35944,8739
14265,5609
38179,10493
25421,7993
2458,2182
51816,11368
78495,13825
66837,13146
2920,2525
14885,6075
19814,6020
60258,11782
22499,7655
8056,4413
70640,13581
29202,8669
32782,9755
45552,9219
19954,7033
29938,8972
80330,14211
80495,14056
76189,13582
73900,13271
10572,4921
49985,10720
22921,7437
65859,12415
14773,6626
86777,14299
23466,8446
56544,12367
83586,15045
20846,7203
55398,11201
43153,9537
50642,11671
58119,12006
21292,7072
77033,14206
96554,16854
16942,6527
89705,15529
69578,13111
45876,11192
49261,11148
12204,5977
73426,13859
44146,10184
92473,14512
65174,11638
67628,13210
42159,10942
61378,12682
26777,8873
15057,6971
17269,6826
45290,9526
94059,14751
29448,8241
24076,7066
62537,11678
72961,13487
45159,10043
1395,1470
91547,15266
50737,10827
76818,13891
55810,11674
4940,4051
55400,11445
7161,3554
17622,6479
82094,15401
61741,13192
21316,8123
27884,8559
95059,15511
70742,12796
67290,13200
17047,5849
95402,15348
50988,11493
88668,14587
14428,6222
3489,2688
57186,10655
64619,13094
16044,6649
84464,14232
28591,8411
12822,6906
64945,13098
71737,13083
16732,6643
74971,13982
48754,10880
61500,12316
57010,11067
19973,6987
88517,14233
6680,3490
57679,11792
63482,12833
92015,14181
94092,15168
70866,12580
68454,14145
2800,1911
55040,11684
20496,6542
1515,2132
83637,13320
4110,3914
99836,17018
4421,3897
73692,13633
82430,14155
62231,11963
56717,11270
19391,6646
72536,13738
45014,10342
25930,7952
54962,11853
4332,3771
45609,11616
29078,7714
11964,6455
84276,15201
31290,9236
26733,8011
21076,7042
82581,14896
39654,9777
81534,13296
74238,13549
47440,10585
81893,14839
82387,13664
39275,11131
16995,6485
75604,12893
79772,14140
50180,11418
5504,4332
65630,12844
74345,13713
26122,8120
69058,12536
84539,14553
56550,11876
89687,14624
44955,9655
43086,10186
23634,7990
53503,12301
99428,15662
50094,11118
79709,13975
30785,8926
91123,14849
96477,15811
72025,12268
57279,12241
14792,5860
36785,9528
46791,10014
83171,14404
22359,7739
12028,6049
56021,11840
42301,10446
62480,12808
68201,12679
32716,9688
95491,14772
73419,13954
87342,14211
97580,14926
51009,10873
16116,6645
78352,13475
13688,6280
24945,7914
65012,12170
51453,11216
66249,13258
62064,13102
87473,15156
4256,3741
91385,15120
65034,12539
23261,7523
62386,13202
28140,7962
38870,9884
66704,13109
45219,10517
11505,6022
58485,12277
2872,2781
36890,9707
15549,6805
82793,14191
44860,10256
36118,9737
49120,11384
73020,13788
14715,4902
6139,3909
40385,10082
72721,13831
36032,8949
57456,12292
90768,14756
48077,10929
71094,14029
80534,14293
2248,2470
61083,12646
77745,14294
60073,10892
87025,15183
11662,6030
37775,9782
20723,6293
32132,8608
19287,6360
19380,6988
46527,10854
1184,2287
8966,5437
77682,15206
99268,15408
57296,11970
48695,11026
4363,2966
30116,8817
61999,12823
27111,9387
12558,5918
64723,12182
55694,11132
12753,5238
73970,13936
5695,3810
4415,2677
46926,10397
40507,10604
69566,13831
60598,11207
58724,12255
40947,10546
11931,5296
82398,14870
48318,11878
51066,11815
93192,15478
96640,15104
43878,11336
64632,12245
21565,7621
5453,3384
82230,13825
22692,8200
40532,10766
86369,14154
78501,14253
76812,13786
89384,14362
18537,6366
7232,4059
58386,12209
84027,15503
97109,16095
5863,3958
13945,5849
81032,13422
86243,14374
10702,5743
97233,16067
68392,12441
70334,13115
66945,12270
35083,9715
14299,6180
86121,13959
86607,15016
52436,11889
87101,15137
74841,13559
98749,16010
99021,16215
54422,10596
10623,5473
44098,9565
97056,15328
1332,1707
31564,9172
56500,11839
20784,7559
32395,8750
32765,9389
58074,12295
58225,12182
64484,12524
8720,4564
38928,9840
38818,9480
9166,4754
33396,9285
35679,9467
42184,9747
44199,10380
63248,12609
32522,8801
69285,13264
81067,13982
92624,15304
81073,14572
8601,4462
95097,15605
57563,12592
43968,10402
97324,15917
71642,13102
25163,8057
40675,9914
14297,5037
38753,10574
45368,10471
77756,14182
47027,10725
55261,11228
36934,10238
26418,8459
43449,9992
50407,11639
30065,9476
26697,8314
76262,14285
92529,15882
77549,13532
50232,11506
8339,3884
16194,6323
56490,11630
70549,13051
82028,13911
67119,12513
47965,10389
27999,7538
34883,9140
21592,6640
33202,8737
36266,9045
93631,14575
74736,13822
18358,6817
46468,10900
69499,13204
77979,14275
88354,14748
4105,3991
53024,10835
13875,5146
34832,8270
4452,2401
73442,13320
57794,11890
66769,13398
43230,10247
86498,15475
34342,9393
41761,10478
22207,7893
87962,14635
39961,10834
74468,13843
14837,6923
50315,11732
77864,14234
43119,10204
96004,15452
28797,8656
8148,3943
24163,6648
48627,10828
10178,4879
17220,6820
33518,9829
97217,15583
86661,14121
34266,9260
32999,9163
53810,11487
10908,4766
64589,13696
72033,13815
94658,15698
32007,8046
13565,5212
53982,10851
28365,8276
66388,13470
61456,12296
6901,3991
58778,11291
70761,13451
46435,10530
76366,14367
57591,11604
43518,10339
10370,4795
31387,8679
91694,15492
73143,12929
63950,12549
82037,14298
74304,13937
4210,3052
78612,14539
5640,2744
75975,14012
66896,12922
61531,12886
31739,8391
54664,12536
31827,9602
77885,13722
96523,15748
78428,13453
12136,5817
35217,8965
4768,3607
26990,7714
58415,12674
56495,12170
54337,12649
80831,14303
47584,10144
6954,4310
49838,12435
40882,9992
1933,2446
35833,9781
99838,15169
71873,13534
34287,9611
77730,14303
65059,12554
6787,3655
86421,14327
72162,13308
31860,8981
46238,10084
94570,15902
63998,13087
2355,3675
97789,15786
79114,13973
92778,14471
96027,14733
36882,9081
12872,5030
15837,6051
15127,5773
47844,11489
19457,7240
39723,10287
39857,9178
25505,8002
51097,10480
89696,15271
36188,9145
67346,12311
26459,7916
18691,6516
27927,8722
63131,12289
10038,5021
80228,13704
56186,11586
45182,10123
79800,13938
26155,8347
1767,2265
41512,10846
26379,7451
48086,10897
81437,13986
41426,10220
93756,15367
24046,7298
40385,10190
31593,8815
18240,7425
5845,3102
58373,11788
12104,6152
84876,14667
99971,15348
43333,10376
38502,8857
95903,15799
93607,14864
6961,4189
37430,9754
27548,8153
97715,14343
86218,14523
23110,6351
7713,5173
23119,7446
68413,12624
13505,4762
12775,5946
93934,15535
90002,14903
9434,4822
57227,11544
43938,10085
71248,13952
36563,9367
2670,2754
28635,8264
96913,15471
47268,11919
21559,8019
85407,14961
11489,5313
15371,6596
18834,5975
24922,7856
35956,9106
76463,14173
43417,10819
88651,15465
37053,9589
90502,14997
15757,6581
46166,11379
78517,13297
94124,15259
44208,9368
50671,11744
29602,8252
20396,7348
36766,8916
12295,5501
33225,8853
50561,10857
7539,4824
47176,10411
86384,15291
10465,5899
21622,7091
11721,6260
17391,7051
76269,14942
40912,11014
45907,10809
35419,9942
27023,8104
40598,10748
77876,13380
81844,14088
25492,7639
17582,6445
96084,15334
67942,13033
7895,4771
97822,15702
17739,6888
26381,7631
79646,13786
78152,13757
44978,10554
39235,10526
5879,3870
11156,4911
94619,15687
27392,8314
83265,14308
71933,14099
47927,11339
58259,12041
19224,6873
75549,13586
63666,11926
86055,14526
18408,6787
49798,10495
78026,13416
91829,16315
5204,4419
41695,9842
5212,3242
89444,15226
9777,4736
90474,15082
4645,3385
84867,14319
28401,7678
87809,14402
56573,11697
99334,15440
35463,8789
80011,14975
28846,8740
44079,10388
91606,15453
82607,14240
16301,7568
36572,11012
20901,8076
78942,14549
6208,3750
5777,2837
40607,10742
39948,9746
36163,9520
38023,9962
70794,13598
15796,6461
86898,14352
51822,11303
63575,12450
99030,16272
53598,11411
50783,11132
82989,14451
24482,7675
67182,12957
54547,11145
9780,4381
73588,13273
20321,7292
44537,10109
69797,13340
98387,16167
37796,8978
1093,1177
49677,10461
4888,2794
26597,7006
49278,11191
99037,15286
4346,3394
86063,15144
99768,15310
5899,4227
10607,5716
98121,15327
3205,1841
20461,6548
5330,4875
43135,10258
96323,16026
89855,14997
83443,13567
82570,14620
72203,13125
87482,15772
83991,14119
5594,4590
88551,15720
57100,11226
38250,10124
38101,9581
50573,11826
10877,5417
1724,2169
85750,14429
29661,8904
99415,15060
92226,15657
92260,15606
27333,8523
79883,13661
93933,14840
99827,15468
31989,8490
41547,10343
94880,15145
53558,11380
91975,14930
56742,11328
9618,4633
2373,2988
15579,6658
51703,11613
23822,8464
35059,9096
31675,8726
36296,10026
48524,10999
24729,7405
84293,13922
23456,7195
98305,16315
61196,12474
32983,9237
89177,14956
50809,10920
58984,10826
17812,5850
50922,11900
49673,11523
90561,15851
75389,13860
42564,10666
17730,6016
6078,3104
20216,7646
8204,4673
73180,13527
7885,4189
80250,15069
80775,13789
17867,7433
59250,12183
92469,14201
16600,6753
93298,15237
99022,15518
15877,6355
87655,13511
99177,15843
54794,11753
31108,9747
20921,8400
80586,14054
73538,14052
53018,12185
16428,6457
98778,15839
47294,10686
65789,12170
71939,13967
33301,8635
99976,15681
37186,10169
42081,9566
96781,15405
34027,9935
1932,1488
85853,14432
55132,11100
56145,12337
93610,16268
35947,10082
80021,14327
67566,12904
47652,11302
89832,15313
61124,11734
94240,14797
93172,14481
3137,2922
76927,13731
81923,14614
18075,7338
83757,14642
82800,14344
36866,10244
51618,10596
38988,9904
66973,12832
91526,15049
32147,8704
3803,3735
69435,12305
79420,14428
78404,13497
29439,7560
25807,8253
37163,9898
1163,2391
80791,14235
86292,15164
32479,9453
28273,8485
36476,8910
36313,9888
95031,15861
26077,7624
92890,15058
48284,10108
41686,10672
63174,12083
28319,8729
15202,6578
67300,13282
83622,14513
65785,13321
91492,15077
11958,5987
67976,12821
79320,14702
24839,8000
21170,7262
46157,10754
50871,11882
39774,9754
33885,9338
87403,14288
44697,10335
5471,3963
63125,12252
24303,8279
85077,15316
95063,15131
26382,7846
47383,11333
48329,11147
55005,10995
15778,5866
72534,13543
90931,16055
8197,5011
89079,16188
38118,9775
23477,6476
99004,16979
74599,13183
59135,11450
66770,13360
55848,12525
7499,4957
62962,12767
74304,12694
36788,9766
38138,10455
97489,15845
50170,11190
14982,6638
95475,15941
30253,8496
45133,10863
25873,8002
21402,7447
73759,13561
50972,11149
1982,1865
8375,4790
21265,7613
7544,4054
5241,3072
73707,13521
31044,8683
81122,14743
50586,11749
68987,12510
1450,1800
6351,4145
77344,13724
6851,4840
71511,12622
51968,11059
61991,12478
26470,7765
31081,8611
77709,13027
76781,14461
92951,15538
9791,3939
82635,14870
15416,6096
62467,12303
49994,11250
75177,13507
19686,7001
24462,7312
49852,10980
12944,5329
26331,8350
72042,13363
50656,11215
43566,9950
47848,11278
91032,15308
36053,10079
12554,5773
46090,10694
72600,13781
69797,12852
34984,9137
65897,12566
55017,12351
56610,11850
37905,9794
71370,13044
73863,13731
40567,10056
93524,15976
22808,7495
53916,11943
14305,5499
96553,15579
30732,8945
26012,7595
43418,10536
53811,11048
21183,6176
23657,7783
65833,13329
57590,10944
45265,11011
19917,7609
16474,5405
98964,15671
81724,13671
22958,8567
28899,8539
59322,11332
7743,4864
33178,8913
98648,15717
10979,4705
66362,13254
50412,11488
12224,5919
81130,14003
44609,10105
54386,12084
55026,12241
46574,9872
21334,7475
53547,11697
92410,15205
74505,13964
83569,13226
62894,13391
49802,12336
95495,15578
46821,11074
76022,13411
45555,11041
22694,7519
67539,12884
57140,11852
24850,7422
87727,15461
76494,14643
57148,11548
91294,15321
25266,8350
25863,7517
83697,14196
26506,7841
89438,15544
51143,11762
12907,6030
72289,13248
90562,15218
57819,12597
73486,14279
17554,6234
73721,12536
90119,14438
49836,10903
59357,12313
12931,5948
8462,4567
55092,11921
83645,14787
43138,10084
43248,10189
11714,5687
29466,8786
64440,12035
71283,13733
21235,7348
21066,6736
50783,11159
3523,2855
64130,12213
11026,5314
26913,8343
24783,8488
38381,8978
62406,12554
4828,3242
63592,12438
91410,16139
62460,13013
86707,15302
22003,7553
89439,15015
76949,13294
33725,10038
1178,1237
44855,10802
58803,11931
92052,14997
26485,7422
52457,11594
54404,10747
87844,13587
81981,14031
54188,11856
69523,12603
23065,6607
59678,13130
57787,13038
35680,9779
25032,7717
84524,14794
72613,13799
85742,14920
94892,15774
15546,6520
6832,3957
41912,10265
88718,15281
71024,13535
85275,15047
61879,12006
72506,13616
44630,10158
15029,6166
89547,14624
94099,15190
30560,9201
29610,8887
24705,7362
84054,14259
22258,7874
81554,15210
46851,11246
85519,14295
68306,12985
16734,6639
67570,13164
48883,11153
22929,7130
28979,8291
78856,14167
39164,9688
71685,13880
36401,8652
56808,12553
90414,16084
93722,15495
38216,9400
66728,13714
84678,14393
48151,10582
57736,12171
17130,7129
89769,15952
60495,11999
18111,6793
99135,15797
32432,8771
66163,12987
58626,12385
32556,9181
30346,8241
23169,7647
30129,8115
96027,14701
77802,13935
28084,8606
39869,9998
78460,13853
81545,14433
42013,11106
60161,12379
69105,14240
12627,5534
2171,2273
23198,7743
87008,13535
72632,13547
47935,10445
21448,7683
11575,5091
28694,8146
44236,10588
82584,14028
34633,8940
48722,11010
56869,12630
81007,14132
5236,4729
42004,10851
74001,13427
27907,8534
31524,9049
41102,10081
13787,6022
37005,9123
24561,8467
39479,9970
28955,8996
15813,6036
86004,15641
11856,5328
10142,4639
98040,14617
88301,14939
61052,12734
10471,5551
1276,1804
9603,4386
99123,16549
73007,13381
81740,13295
7590,4281
46137,9747
23547,6427
41139,9896
75372,13179
22142,7132
15035,6071
40048,9389
18750,7123
63079,12042
40944,9859
44111,10679
69019,13952
34692,9032
98444,15408
76866,14250
18424,6764
72043,13423
18602,6950
39266,9563
69332,13255
40213,11084
33274,9051
19176,7959
98351,14917
46794,10688
15590,6239
57235,11263
47834,10785
71911,13046
90118,14642
84209,14535
31793,9725
70713,13603
24733,8279
68174,13200
82331,13891
25889,7957
62380,12501
61601,12289
85131,14443
53493,11833
31432,9348
31428,9551
43066,10339
1201,2406
44606,10505
74640,13722
68719,13312
44223,10997
33325,10117
11143,4643
18450,6659
69253,13431
23702,7148
25825,7270
88433,14777
86969,14260
83508,14744
31096,8471
82743,14643
76604,14576
55095,12714
75642,13908
25456,7605
70311,13943
95381,15572
5794,3940
89773,15246
93542,14761
24727,7258
21433,7717
80456,13977
3692,3331
15325,6179
1062,2179
22275,8291
51474,11442
79343,14522
58761,12118
80596,14856
88464,14124
44187,10817
41176,9959
54660,12006
27777,8282
66372,13091
11570,5203
78020,12550
90745,15675
53262,10587
75215,13193
35600,9672
74193,13862
34786,9824
99645,16011
52385,12045
70343,13663
88074,14024
49818,11240
31564,8592
3524,3858
90326,14715
37782,10121
82708,13645
42191,10193
16701,6520
1366,1070
78761,13875
72999,13747
66067,13358
88793,15350
77719,14005
72880,13723
58382,11527
76712,12999
52108,11412
41720,9546
94450,14250
99570,15630
58095,11893
19221,6527
76370,14003
43819,10728
39726,10177
27547,8177
66270,12656
83310,13819
15449,6169
2598,2913
50666,11182
42929,10415
97414,15722
71574,13310
6132,3574
23622,7672
43696,10587
28282,8685
51593,12419
79563,14156
95994,15714
43769,10109
59688,12265
53863,11094
58135,11359
51059,10767
95951,15493
61741,11575
60282,12405
70017,13259
56333,11215
96512,15365
37048,9463
45811,11078
23695,7292
1645,2676
53923,11454
66276,12691
57687,10999
57830,10405
42622,10103
96454,14695
51144,10741
53424,11408
34945,9903
26680,8034
15444,6054
30469,8435
11212,5421
82373,15545
20437,7401
3931,2540
32803,9183
40887,9706
25946,8496
85500,14568
68857,13319
44802,11055
49460,12113
48001,10620
3131,1759
30188,7844
87796,14616
2597,2800
16161,6267
48015,10943
9751,4291
72336,13542
70687,13436
87105,13766
71344,14347
35235,9788
89342,15070
95712,16555
85460,14364
43772,10605
7578,3593
82571,15234
94089,15670
8105,4151
5305,3329
82649,14858
71400,14136
26939,7925
5310,4038
6285,3504
79961,14438
39054,9899
44291,9695
94044,15074
59780,12642
47496,11135
40664,9475
33324,8600
28169,7543
10095,4613
40661,10173
13322,6145
57722,11152
40481,10128
58015,11486
25266,7949
47908,11856
48773,10435
56152,11856
47144,9377
50066,11460
72798,13261
27064,8813
13534,5718
72945,13766
55859,12775
40614,10389
14629,6391
35787,10060
67269,13157
50351,10842
14472,4744
76705,13537
70944,13642
32800,8841
99101,15647
92404,15087
40317,9765
76535,14164
64561,12986
42496,10247
60148,12616
52368,11467
49561,11199
51994,11225
94183,15136
44971,10366
96214,15442
38992,10132
92125,14922
80603,14219
11581,5947
89781,15527
11560,4864
85515,15813
30079,8989
23034,7344
12527,4662
82409,14791
79877,14341
85765,14180
12563,5659
9640,4209
68749,12426
59487,12047
95976,15379
85259,15346
13936,5904
51800,11152
85630,14265
30494,8865
91375,13865
53621,11634
91341,15975
20065,7583
64724,13772
16244,6024
49614,11367
45234,10552
58995,12754
8245,4491
50867,11812
12325,5063
84878,14493
12016,5327
99428,16377
86167,14181
53770,11360
86274,14590
18377,5840
82340,14196
71499,13412
91497,15904
24085,7599
76498,13760
86518,14422
42876,10109
84682,14397
60627,12261
89332,15106
6310,4274
48345,10798
26833,8293
72829,13265
51319,10960
93533,15894
37022,9621
76867,13581
3261,2987
90981,15625
80436,13895
88269,15040
3769,3346
46736,10894
87556,14792
74612,14566
83423,14271
96642,15512
5351,3449
24148,7962
72912,12706
67814,13564
1392,1207
83557,14668
30878,8494
2459,3285
16567,6582
58262,10882
48442,10891
29630,8824
87978,14683
41395,9663
81775,12980
