ad budget,units sold
26688,16118
8048,0
23568,28515
33047,25175
10483,269
18545,14102
18413,16170
29913,19022
46217,34786
49122,47122
34746,20790
9709,4277
26358,9054
49528,50562
12023,13567
30851,24383
29756,19496
12145,5108
22192,16139
48259,41584
19839,9490
28410,19949
41160,38072
12447,19612
22033,20888
42355,29911
11129,7973
31358,27560
14907,10177
22637,22381
39196,26977
23369,28375
30481,23860
32681,22358
3589,6421
24560,13773
4034,4115
1169,9344
27913,15031
4239,10539
4415,0
20952,21684
12408,4247
4484,10738
19225,11923
15923,10599
21936,11918
40612,18018
20410,9474
30997,14690
37733,17935
40952,34525
22863,27440
6380,15888
21710,10392
16285,12368
28260,29597
33879,19234
17143,20936
8413,14051
32578,14386
15726,0
28015,20011
6983,11215
20178,7024
27990,10162
11321,9443
44829,39660
37366,25812
35294,24644
41677,37102
35737,23370
42911,29560
18886,16773
45296,38571
23791,17689
9301,16348
36122,33396
39087,29164
33993,19450
48288,44579
36779,35582
37894,29721
34381,29166
15082,16273
6458,14785
42770,39540
23300,21310
3699,8538
30485,31295
41285,34652
2019,7120
33471,22719
49671,45948
21270,13008
23615,12842
14698,10985
49918,31884
39346,27898
7729,8454
40729,34251
12171,13574
14947,15888
35725,30825
20450,11250
14300,16980
20064,15393
5441,5794
46779,38048
20332,25713
21115,9723
34869,25836
22868,21483
42997,34529
21615,14384
14615,184
15732,10864
26367,23268
46134,40168
43738,33982
46760,38476
1981,0
22554,20380
26319,21112
17130,14695
19815,14535
9566,8930
27329,25671
7349,7412
11728,0
41316,34710
19375,13173
22814,14002
37214,37866
22545,12441
46588,32352
19953,2514
3872,11741
10368,13641
35103,26089
6413,8807
30269,10862
21156,19777
14423,6396
39062,41292
43805,37249
2987,3176
38597,25953
19369,10608
28868,26650
12434,4967
15548,7222
17636,22551
33383,28432
43196,27980
18007,17716
36924,27865
31211,14374
12328,6868
4389,0
10458,9901
3945,0
10352,8827
11486,13186
42400,48086
3092,14353
37527,31361
6112,4574
17937,10779
38672,21079
47026,23903
2112,0
36545,39061
32740,35811
24481,20015
49355,42275
11025,5192
35082,27885
14562,6993
12304,5175
8015,10087
45885,33076
6710,8321
13588,9987
21967,26081
22904,21637
25256,21671
26052,12260
16436,10206
22815,17950
16196,13284
19089,19251
18604,16119
3506,0
33584,30420
21709,14600
45840,32787
49904,33307
48111,36381
39247,28054
44202,42326
4090,1667
40265,35405
22552,7225
30135,28575
15691,16401
40761,23874
34741,22562
22661,14151
42025,32404
7092,1444
36674,27869
1570,5177
13084,7118
1307,2829
4742,4847
42742,16448
29792,18987
1765,7326
42732,28817
25198,13733
8735,13203
17202,14682
48199,47303
12377,7113
47042,44846
15297,6905
9036,0
41364,37131
25369,23735
35817,32691
38443,29515
2663,10932
40244,37388
13028,15372
20823,17388
16077,4780
40911,33135
20631,18662
2910,14525
34500,29196
20897,10441
38377,33505
12134,17252
38224,40831
27897,21676
48280,37426
37103,21214
49313,35830
46582,39862
8056,0
29950,36245
3753,862
32941,27075
35140,30165
15234,18962
10636,10109
4376,0
31783,27957
42249,40561
44025,29852
17447,18758
21329,18589
17713,14741
5858,846
20472,15044
17524,16651
47387,35365
5539,0
19857,9765
39362,33175
37671,33072
6364,4685
1449,12050
21830,7260
22078,19941
38574,19815
1869,872
39847,33378
41075,31801
29140,11599
4659,3156
37370,29914
42352,39266
15385,3746
44751,44447
20337,1163
6131,0
2358,2943
26614,23155
17771,23289
14603,12842
17246,13188
18216,17239
42209,19720
43987,29144
43488,27738
21577,22973
43320,42456
12301,21031
10515,11829
27802,27594
1891,2076
22972,15382
48853,32605
21932,10530
5192,0
17128,18089
23836,16609
25837,16328
23778,6859
44130,29825
17708,12444
42945,25138
25232,36146
40412,24288
5782,11541
27315,21129
11052,5443
20521,14920
4898,4003
18219,15934
5154,0
36546,32593
14809,10171
26972,13590
40177,29575
13523,19337
38081,31781
23030,18451
41376,30715
21105,14969
47485,39309
25295,18643
12864,13016
44982,37925
13876,3943
19055,18411
34684,22020
22972,12403
26493,21043
10325,9809
37775,33910
21373,4160
37253,34538
22181,20221
11961,5212
18705,13546
45676,37729
37122,8759
27104,14177
14509,18575
8101,2867
5743,4079
9951,7261
8014,10699
37180,27304
42908,32393
44039,36375
9219,12455
8163,13509
3470,862
44498,32653
17543,13157
20276,24231
37881,34975
14414,8653
8749,0
25182,26787
12914,17647
16007,6140
31951,22890
45691,41812
33608,29201
22383,5941
14042,4465
26412,24619
14181,12840
45898,40714
4405,8207
31868,26945
11862,12012
29688,20333
49017,39899
31945,27437
13939,21387
47735,33240
29931,28288
39616,30999
40585,36936
39911,31207
48277,45686
43826,30606
42164,34584
23942,21790
45539,32343
6272,6845
45134,42149
25265,19809
49192,43857
29668,19689
47196,31178
17024,17792
32899,22964
4747,0
10297,3676
2607,10171
22458,24328
28973,16456
24117,10523
17450,11505
16535,19471
30355,23110
8645,5792
43238,30906
5158,2497
42773,39303
17786,14740
41693,32143
31911,29433
27578,22492
47408,43628
5166,53
20309,17880
16076,18186
20377,25622
10278,1660
34539,26589
12440,2056
27245,15977
23097,18589
9167,0
2556,4561
44918,39277
2151,1262
22698,13116
18601,13417
27807,34945
46302,33919
21328,12335
9039,0
48427,45005
7303,0
20053,16572
32644,38755
36745,31612
46309,39196
21762,15455
24611,21572
1422,1592
32275,29062
27597,7579
12985,12665
29707,26366
4372,18782
17083,13641
35710,29898
26816,23831
10950,11307
35247,20796
5626,9411
27408,16422
11777,11862
6147,0
6443,3820
1079,0
32282,24332
39345,30978
13901,13355
3223,2001
36337,34317
43732,31784
14768,14393
18507,9811
17249,24495
36391,31717
35171,23954
8485,17195
45568,39565
30784,20466
46566,36465
25617,13666
38748,24169
4878,11153
2949,0
20844,8650
21881,21319
22614,28050
24828,26806
10958,22513
9697,22287
22624,12697
16493,11326
43801,25617
22199,10782
43354,41118
1256,2666
35488,37129
31493,20002
47009,34315
24731,23346
8076,12801
2071,0
35390,26869
3066,4849
26645,26014
42410,39812
34665,27285
30412,16917
32835,14715
42041,32539
39549,29906
47390,33136
47052,43000
44167,28448
27578,18090
10883,15707
43139,29861
23217,20513
11707,9308
41856,34944
14140,16601
12093,11626
17500,5681
39553,24338
7507,7775
33586,21352
6830,11196
31608,27141
38329,20369
48287,49964
25511,18211
34427,26286
19506,18140
29395,22996
45303,42012
47770,32108
28126,29383
30466,28459
18970,10530
5682,6056
49470,46849
11939,12681
9826,8745
24371,23231
30946,28997
25359,17253
20266,17153
39017,36306
20195,16954
46413,32825
28315,24333
19268,13072
10710,12061
42581,42626
46537,41293
15161,7187
32821,28067
10729,0
49448,38961
49915,45573
27913,24744
23184,19208
24279,32202
27570,11827
44030,26339
36133,31799
14195,16745
44805,41477
44998,32562
18238,9526
16552,7293
3728,4916
49245,33497
24557,26333
5938,4619
32202,21539
1131,0
26692,12162
20977,12017
34061,23932
28264,25060
26575,20665
15727,7423
11488,1839
21069,15433
25400,8002
25146,18210
7846,12970
41352,31879
24694,20711
22740,18421
31996,17285
33125,37045
42409,31482
45200,36140
23970,15242
11895,16344
39071,22505
23258,26420
24354,17657
31641,22112
9444,3789
10611,19341
11528,0
1999,0
4760,0
37884,19432
38179,38375
22941,18190
27022,14653
44130,40279
44881,33501
37451,26081
27521,25469
48750,36467
30639,18735
35621,32669
32449,25111
14079,15742
7895,3899
28979,29297
46703,37447
13552,17198
28394,28875
49821,47274
33276,27031
34630,30000
5527,3037
13247,5211
18603,26902
37563,25538
46564,42680
46502,41556
1527,2308
3922,2208
6849,4609
31300,21098
28780,23591
46724,30291
29140,27796
18230,13213
27693,16382
7959,0
36854,28692
43730,34401
20667,13425
27401,24935
49187,41440
4323,3799
1445,0
18409,10287
10963,391
16437,12001
17855,17648
17411,6662
11847,6111
4236,3071
14487,14945
12848,1417
14155,24643
12255,14320
2979,0
22305,11422
10007,9708
36094,31707
36098,22937
25030,13339
34770,22455
10734,8974
7448,6422
40605,45470
13396,0
28881,19075
32177,22567
41122,35816
48019,41575
36297,27840
46977,46647
37680,23447
18916,10957
32239,17898
45084,35188
35189,26161
14510,16325
25966,31894
23152,27465
20202,8825
27445,22276
12152,14368
6617,9304
2195,15643
39997,30679
26433,21615
6305,18489
9077,9781
49648,36136
32385,20059
43113,35745
38968,37574
43642,41236
34062,22017
7097,6297
40180,29439
42604,33196
45593,41908
7678,5843
33121,30412
49503,43697
22404,14257
6743,12768
17494,7424
42543,26454
45185,33283
10678,2692
38632,34537
47235,53169
2648,8887
16677,8440
49686,33761
23765,24877
3381,0
17489,8082
12745,12410
6818,2203
43654,35639
34149,25336
28312,22482
38124,35746
39686,35478
2316,7355
6454,8999
14107,15536
5074,4046
22188,9024
48579,38219
32968,28270
41389,33557
24102,21801
49894,52281
42422,30929
32957,23936
13872,18350
48719,39723
9349,10207
20693,13003
33627,22507
44677,28499
11760,10442
12584,4196
3106,0
14669,15701
26223,17170
36706,22163
3483,0
28482,28256
35143,27475
25240,17796
11015,9841
17628,14560
26443,17978
31819,23453
16060,17232
28437,27698
11654,4294
15253,19880
12565,22106
28597,21129
28768,21122
1087,0
10432,4334
9764,9752
1178,14844
27301,26211
36408,27134
42965,31824
32913,22347
19732,22145
3421,1277
44715,38498
21526,15800
29317,36162
2217,0
36242,24773
1929,0
41726,35925
35270,36824
34188,29907
14580,15903
49608,43092
39598,21688
31431,25048
21742,15491
18833,14219
31885,20571
6811,10659
9619,7986
25255,20459
25972,19894
14527,7846
49991,29301
33874,28729
5049,4721
42057,36851
2903,2756
45261,29733
6376,332
1042,8870
23769,20929
2577,6881
13382,16219
23449,12857
39653,29679
29859,27973
9576,2768
46874,35050
12663,7014
37345,25447
49910,39147
6244,2080
35902,26330
4892,5524
28112,28478
5321,8844
6776,6479
44352,45318
17119,17649
31569,30082
39596,30699
34063,24931
34181,29601
23340,24109
11187,9996
48084,34668
7668,0
16344,3586
9195,7611
17561,18945
38122,16679
23298,14994
39250,26776
17076,15936
16376,9100
37039,22248
44442,31900
6392,519
28106,22563
15309,10958
25809,23302
1693,1317
34937,34039
30233,21499
9623,11419
41550,35147
47624,36327
10174,12267
12352,5068
6530,12663
5992,135
24354,11439
4312,0
46833,38013
5318,869
47827,39349
35456,21749
1467,4096
28192,23658
43305,31899
36190,32701
24663,23181
32246,26349
48372,44021
38489,37454
42971,29645
41309,39842
43637,29515
29273,28048
48553,44526
30473,23330
14679,11424
28445,20962
46310,32102
18870,11269
48229,41563
26992,26728
30433,24260
12038,3570
26933,14669
46020,36179
30236,21023
10770,15733
4749,0
45585,40052
36271,25293
8855,5383
47146,38750
45097,39195
24439,22087
31290,21673
12101,10283
28240,20343
17783,5639
45917,38107
27809,29823
48387,47975
18923,17043
48753,40514
16026,0
42196,50121
24569,28241
42887,38864
21893,17946
23435,5363
37892,31407
33399,26910
26236,12533
28199,25248
21334,24487
34217,29417
16034,14851
32085,28077
10442,6417
13643,15464
36069,37998
8710,7216
39560,27116
43427,26428
8216,9578
12712,13855
5905,6908
49534,38213
39767,33476
28930,19930
32192,21489
24506,13627
8288,715
45034,39210
31011,23193
16586,9180
33400,18549
2567,6080
48878,45521
49850,33735
2094,927
12135,4113
14508,10756
46113,40538
10684,18257
28247,19915
7191,9952
18842,19420
9046,6330
5934,11708
47806,36279
2354,4496
40241,28751
30816,27842
46562,39837
3963,10295
28424,33753
15503,17897
4042,7258
31241,22649
40741,18999
8139,14301
12226,20918
40698,34436
15762,6573
19116,23560
39108,37917
6111,0
4081,4107
30815,26109
8802,0
43230,28111
49348,46028
18913,15549
18465,9072
8994,3179
4531,0
10343,8727
34484,32101
7229,12843
29775,19812
27766,20090
17588,17077
24168,25050
45789,38856
45069,43660
37862,41191
22866,8513
10524,17533
23538,26622
43809,27994
22226,20563
9103,11098
19402,8983
16090,12505
16915,14470
42477,27502
35206,26131
22511,26416
16029,22923
31831,18843
24531,3636
5517,11838
22961,29303
27835,27529
28725,21258
26357,14583
44673,39439
2244,8123
3416,0
49061,40899
7490,3384
12683,14670
6839,0
25992,23174
48618,36699
45938,47743
45735,38460
38777,35268
48080,32805
9924,6611
16921,15904
25260,18051
29380,22050
19811,17427
6721,0
42191,30606
5930,9477
5353,1921
8832,21085
23951,19705
8770,0
26525,23883
17556,7709
16094,14915
8935,3754
3675,0
32280,32035
12240,291
5005,1092
7544,2453
18332,22688
27836,20175
15388,6661
48727,40369
2694,0
22141,13217
23666,23074
48521,21620
39769,26031
40420,28275
48753,48273
38349,33351
38855,30894
2460,1349
37655,30865
48646,40390
42252,34555
10835,20347
49411,36894
11910,10574
18221,14805
26613,26926
32353,21723
39614,29490
9463,0
14336,17391
27534,12890
3369,5933
26381,31191
47760,49762
20558,14611
23369,16620
34650,27275
31954,30968
26407,20333
36939,27909
27767,28650
3040,2694
24116,18374
27170,16479
7372,12060
23369,20178
8562,6779
45544,25263
6900,11247
41733,26581
22700,20872
42233,29115
1589,0
6063,10419
21017,17424
19374,15745
23899,30822
2258,13417
14598,10197
3866,0
42504,42486
31132,16838
30404,27174
46472,35570
1637,1766
25616,27851
38650,26199
16828,9813
27196,26305
37440,40685
46097,51723
48735,30283
33022,23900
33202,20372
29704,28843
26875,21865
24641,24980
38479,28413
14235,15585
23027,17348
33927,27995
43912,31672
48561,47009
43691,27376
28022,21735
6938,16236
45122,43753
43692,29894
34348,22724
33209,29652
38242,34493
10941,15892
8073,0
43430,42639
38827,25653
47225,45788
38096,20784
1921,0
3773,13344
5462,15026
21960,18170
31268,23039
20818,16558
40501,34889
45542,39462
43078,32694
2865,0
31706,22103
29887,14580
31511,29804
34479,29797
41478,32515
27401,20416
29502,35398
47214,44650
14394,12747
34158,24098
10262,15950
5487,5053
28341,18783
44388,31967
14570,15627
30605,30198
7066,9466
38262,34555
27723,20353
4572,393
13670,11827
28839,22579
49707,33761
29401,23327
11249,13139
3311,306
33011,35932
44839,28360
40541,27488
40673,29102
4642,8649
7338,7145
10622,3181
49423,28305
43873,27978
40008,21487
48565,44093
8806,690
1757,5489
27710,25431
22470,25126
7220,1488
43872,37526
27315,22582
28793,23781
15316,12139
43094,39527
23505,23199
29288,23415
9956,5208
20109,12641
4497,3810
10864,10022
32510,25459
28981,15434
23026,16593
9774,4657
47807,38336
22017,32831
2821,4838
46485,44761
19021,11112
11372,9229
42148,41090
35514,18929
29402,22121
6797,9162
17283,13391
41857,30078
45905,33654
8597,8770
31320,15633
32261,26557
7107,10041
26760,19235
36561,19889
12138,6638
36268,28272
32608,19627
14138,11494
42129,34735
38693,38170
18464,13782
22248,18469
38221,27271
19632,12843
48547,43063
13100,9073
48930,44104
2325,1579
12369,3032
11340,4915
14408,26037
20369,15692
19460,5876
27105,14854
32384,21630
2461,0
43362,28094
33840,35846
29610,27676
39798,30639
21995,14072
20180,15174
8717,17658
14331,6275
14936,2486
30550,28444
21615,23341
4576,12371
41868,31380
33503,24751
47380,49978
6728,8955
33800,26530
11886,12529
15078,9446
5373,6106
48236,40299
46805,42449
33532,20916
48229,40716
36160,21928
29688,35004
12063,7135
24089,9342
34585,44332
7203,2636
3438,3320
28559,12675
24212,19052
7641,16149
17983,18616
15026,1816
20636,11930
35603,33991
13222,14397
3177,0
41910,35910
33916,19944
14105,3442
35512,13450
2646,7669
10864,8060
47434,37973
27515,3593
24762,19512
37435,33254
17960,1831
45055,36309
28607,22487
17302,11050
46778,45268
31941,31959
32321,45763
31313,17773
38547,33409
41955,42563
14029,7070
36740,39540
19429,17733
29512,13129
12140,1997
15847,9195
48191,38023
35256,35635
29774,23281
10127,15297
29205,24012
43674,35013
35570,26704
16627,19194
37288,30607
39664,27336
33333,28659
49012,36466
37079,26588
19689,22847
25259,19251
27571,34864
9009,11619
45674,31945
45995,31789
39230,23939
46828,41098
37226,24641
37498,16405
29820,13947
41315,26427
30482,26407
33795,26540
49276,45078
20875,11257
40191,30207
13453,21246
10260,6161
49629,41050
46244,33057
46706,36012
43817,37905
26898,25461
6614,6000
32843,24715
45451,37142
12687,5733
4801,2548
42048,35632
41144,38837
29942,18484
11148,7855
47828,32232
18283,11960
20861,22692
35512,25190
23480,18208
19637,8289
45621,33130
48431,29455
35401,29993
24385,21717
26437,23171
9149,9726
15671,14569
38469,21617
24119,14568
47117,24231
34781,25043
17279,8599
4299,3207
35274,42976
5803,9336
18361,23866
19201,20289
29634,23107
15760,12550
11826,14648
22285,19318
47589,36343
46775,45979
49554,42312
10140,0
7798,5156
1567,1555
12624,7673
13215,8261
8966,4669
41888,22802
30753,12827
45104,32163
38078,28059
46955,29528
47857,32140
2982,867
34864,34078
14582,17457
20954,22756
40265,26150
47313,36517
45350,43694
16378,2514
44632,32949
5279,5556
28924,12908
18057,17019
8312,15932
31353,32430
49208,38300
36137,33796
21914,7233
17192,15424
18450,12932
6432,4249
32012,26233
34455,29890
14175,2627
1068,0
11295,7498
7774,0
13190,11375
32286,30825
11789,17784
29914,24510
32944,37674
7891,6103
22977,10841
31351,24745
11316,7819
34207,30463
26654,22947
8466,7968
18637,20711
4209,787
37317,33086
4078,4948
28299,23323
37258,29412
4543,0
30091,22549
29947,22819
23064,14115
7751,0
15906,9386
19096,12436
15425,4298
12811,2201
18578,2311
7781,7995
22290,23700
16563,13347
26888,19085
28491,14453
48565,25623
33352,26484
22676,21835
1300,0
38463,37103
45942,32620
49990,46502
22008,12922
21221,999
30334,28025
44518,30077
21301,7786
8307,9535
30251,18865
47586,29591
35157,35994
9882,6677
11040,221
7141,2934
46878,50298
6969,6249
14162,7479
10131,11113
6037,2104
23378,15646
15693,8616
27626,27224
3451,3929
1024,9353
6962,7411
36324,38225
32415,29833
25016,18453
17444,13143
41443,44122
17506,21828
39384,40788
44062,29205
32693,14903
47778,33163
25248,21191
47162,33856
43690,35116
5089,1364
48216,27985
3472,5351
44237,35575
41218,40951
36732,30345
9104,11979
18694,10040
25730,22666
35980,33635
10454,11701
40560,31089
10554,10546
26513,24947
42471,41185
46987,34223
31985,18887
25762,15622
49167,40206
41428,33169
2702,5926
18038,19415
23219,7264
5271,1330
28397,23991
9955,14655
30602,24161
45227,44374
32545,29344
24116,21577
7674,5478
