Company_Profit,Bonus_Amount
649880,30426.51
208469,14193.08
4786546,240391.13
2828625,147005.73
1819356,90913.57
898706,40001.38
3570934,176457.27
2127190,102783.12
1746862,87741.31
3623746,181668.07
4979406,245281.07
2105107,104566.67
971057,49868.87
841093,39077.18
3491449,184257.58
2962961,146640.29
1382504,68544.31
3699732,182943.42
2267210,109183.73
3573836,176353.24
1610109,78849.0
3287563,165534.18
3638475,182200.49
1664325,79574.96
2809867,141861.79
898736,45164.24
1133533,60334.62
4953001,253722.42
3927735,198343.64
1837915,93971.18
1412725,68322.88
1358122,67487.42
3771979,181143.87
2321964,114663.63
2463885,124705.62
4940143,251819.92
1227272,60597.69
3046152,151453.88
1510498,74244.39
3384513,166492.25
1954250,94819.57
2314818,113102.85
1328601,70202.52
571127,27972.29
3071831,150185.42
2456393,119735.08
1923375,90356.8
3899899,193915.05
3653210,180698.76
3006789,150840.08
1861301,95297.53
776925,36427.51
2614368,130032.48
1949757,100634.73
1049900,50404.71
4365834,214554.61
314960,17012.63
4038739,205360.5
483243,27408.93
4834883,239627.16
1447324,69108.54
3069954,152743.95
4873439,243750.45
4279829,213933.31
3575415,177037.43
2128640,109952.3
1754843,91740.47
1358617,63838.83
125422,3393.62
189742,8767.96
2909996,145157.77
150865,8996.19
4506144,224150.97
1569382,77817.0
2164473,101156.54
1814775,94376.76
4649227,227085.36
3151744,152217.14
3013050,145867.1
172970,6019.69
4968199,251451.4
2210986,113587.04
2386701,117696.29
1255545,58223.29
4565529,229291.73
4683665,233163.62
279726,16498.77
2401733,116332.67
1934086,95767.57
1474490,75846.16
1562732,80947.46
987944,53607.42
4917075,250105.1
271609,13107.36
2685104,137093.36
3855548,195770.33
2486969,120646.21
3297131,166661.37
678675,33266.99
1208629,62353.54
1040367,53474.11
2122154,109279.99
1164879,60141.42
380810,18169.31
449037,23049.71
2685677,131795.96
4946862,251211.35
119479,8685.77
247521,8563.15
2438529,122937.64
975421,53296.84
1391503,71838.28
1224517,62585.93
3583525,181129.45
2337969,117316.66
2322421,113928.28
2339031,115751.96
1699844,82945.67
651304,33751.9
4493838,228513.28
1960921,101391.91
2965043,144824.41
3877663,191313.45
3863610,191445.94
3070364,154128.78
4500031,222336.08
1949340,100074.77
1414700,66910.91
1896958,97225.35
4109742,207173.7
4210822,206705.33
4189987,209200.1
4748161,235925.27
523249,22941.62
3705234,187245.22
1161984,58930.03
4260798,210778.41
1457763,78055.42
2627872,130563.6
4142776,204532.2
551820,28072.46
1707683,90156.94
1473041,70312.88
4700009,235364.74
1055522,52187.58
4142658,208071.77
3050833,149793.6
1682335,85400.6
293599,15686.4
815764,43260.47
3703421,186486.79
4058466,205664.98
4265277,214500.15
1004450,53084.24
151563,9837.27
1109345,56906.21
391120,21312.28
1448508,73460.45
135398,4759.52
1129733,56807.21
779394,37331.03
119990,7563.42
625574,24381.82
1716329,84873.31
312193,11952.52
3156607,157765.89
2988201,146693.26
1944531,102366.37
3196220,156344.31
231149,10311.24
1562853,82730.33
2426340,124769.0
1945366,100644.72
2825379,136390.51
624933,30619.01
2227559,108409.78
3444427,173523.45
2581090,131163.68
4147524,211103.27
3078518,154090.58
2230348,109652.81
2476651,121775.05
776868,38862.48
2406944,121678.38
4677744,236031.92
2239039,112736.59
4973086,245145.82
2485539,124712.7
1826017,92362.67
2902993,137986.07
2728050,137005.23
3278925,163916.05
2751733,139832.88
4494187,222410.99
3018372,150654.67
990050,48583.81
2317863,116340.39
4528406,223756.05
1716860,88346.64
1542585,72769.43
4050530,203848.97
2030861,109308.89
3193430,159060.48
869300,46992.7
4408210,219083.92
2974590,153341.89
1190621,58973.71
2044809,102540.76
1707477,85693.96
1939996,93314.58
670478,35194.43
3974882,198574.45
792111,39115.96
1018978,44950.32
928478,51398.64
4043332,209004.23
2455970,115146.98
3294512,165103.89
2577558,129328.14
1275475,69139.97
3836104,189671.58
3100790,159348.26
3862925,190651.47
1230941,61342.92
1618257,84047.48
4672791,235174.84
692522,34770.32
4045438,203185.6
1465335,76592.43
3866362,193016.97
1776115,89868.39
2515120,129598.03
3071841,153860.89
2376647,117475.84
4260043,215151.98
4336446,220460.66
222914,14759.27
1514206,77804.15
4616801,235566.35
4348280,217936.03
2082339,102726.13
510340,21360.3
691028,31596.03
533126,28054.27
3892055,196003.27
3452276,176964.13
2115601,107763.45
728515,37696.53
2059995,101315.26
3865772,196837.85
1489559,81742.37
4541932,226143.21
1876875,91632.42
2992476,147602.54
1390939,74486.52
3708050,187675.73
2541465,127327.36
3703027,186857.43
4547318,222547.56
2775475,143928.46
143792,9300.66
2132431,109166.32
702503,33775.27
1401786,66472.43
2173641,109283.52
2244763,113815.27
3631401,182081.78
990536,52278.4
2196292,107207.98
3003938,147553.56
471666,21209.81
2470193,120207.34
3189546,158228.85
1629291,80439.97
985792,49789.33
2568358,131109.03
2607256,131471.45
2451281,118271.46
2778005,141313.09
3278668,160598.96
3379711,162689.69
825934,43768.61
1298549,67959.61
2083079,108243.13
2151771,108403.44
3990688,203960.39
2811773,135737.41
3884530,193141.76
4140104,209735.93
3338588,166913.03
2465914,124803.47
2395317,121201.9
2823505,143854.38
907044,51149.41
541183,28542.2
3855098,194594.95
2869476,140745.72
1542086,75784.09
3140490,157512.22
4188575,208962.89
3541177,173587.89
4708440,238423.82
4989305,247942.58
3032635,151565.8
2595521,126011.25
2053502,104666.92
2601841,129429.87
548283,29209.93
3470110,165297.79
2417012,118570.97
644350,34825.27
4904366,245037.65
2984271,155640.71
4205556,211210.84
3686440,186970.54
3794199,191789.77
3788847,187390.19
4450654,221696.44
1284766,66262.91
2236985,113172.51
3008318,145193.28
1927536,99389.45
2380961,119509.63
3187961,153661.94
3546363,175449.89
3650847,184569.06
4793517,237808.64
279662,12320.02
2640667,134255.86
4581138,226984.95
2250811,114562.06
2439979,118362.39
943832,49594.85
2127276,109773.68
3924417,196734.68
2151340,107576.86
224387,8059.88
3364436,171064.02
568884,28814.26
1799709,93404.62
3736254,188497.99
1822166,95359.43
971278,51200.25
4383507,222066.94
3337625,167729.68
2563790,127234.75
1972431,98509.57
414849,19531.68
3534912,178355.0
4850656,237946.54
3631313,182597.9
4758697,238535.71
1977708,99349.37
756570,35460.18
1682681,80265.87
1285816,62015.75
459785,22815.99
4118190,205643.07
961619,47537.77
1120989,56007.84
136020,4107.36
3347065,167939.51
4425996,215591.15
551984,31098.49
1034898,50748.08
2704815,139685.24
3808107,189920.84
805763,41522.82
3582972,184260.25
1182052,60050.67
1734296,84630.25
942524,50000.74
1075339,54697.32
600197,26589.81
628312,27232.58
2516426,123555.84
2394167,124288.64
1058230,53357.08
1009286,50291.99
3512939,179340.11
420656,26494.53
2042239,102263.8
2799077,141995.38
1740193,89100.16
3205201,163659.75
4042088,201823.72
4675848,237478.38
3012469,145771.27
3528451,177549.47
2569357,125742.46
1220906,59440.86
2988998,153946.01
1974989,97669.49
788166,39436.27
104747,4536.51
3517731,176265.59
3151762,160721.51
4337875,216556.14
203813,13205.0
2685854,136021.62
4466006,219628.54
3897603,196185.58
4135150,210463.93
1714759,85892.77
1561171,78845.01
827929,42957.17
1623189,84479.9
1230196,65913.46
3964029,201060.83
1374866,69234.27
523113,28445.66
3991205,202386.81
1034228,48712.92
2859679,135922.47
3935349,191598.76
2685526,133637.98
1125118,56998.8
3627849,178313.08
2392166,120711.35
4751471,237959.25
1737349,85240.03
1959583,100103.48
1932771,92451.4
3554496,178178.23
3842488,196796.72
1533452,76071.82
1132227,58919.01
1825385,93478.42
4607075,229274.09
4211831,206480.38
1305443,63454.94
2820244,141947.28
2978703,152099.68
1350387,62676.97
115752,3409.14
639575,32054.84
4831555,239072.05
203221,14487.66
1062875,52724.5
2844781,143047.45
704373,32710.75
1550563,79689.63
3000030,147245.96
364701,19580.19
2963600,152981.84
1789051,91930.79
4502943,225724.61
1439340,69615.63
3152530,155484.65
874310,45043.74
4265769,213717.39
731032,39276.33
849577,42348.9
2792165,141211.98
211945,10898.59
4687456,236315.43
4542863,226226.06
2820377,136633.93
2115024,108737.55
2558148,127495.45
3111536,159649.53
121584,6393.1
1905944,95390.58
3757037,191849.08
3716167,183859.84
3685274,182958.68
3148752,158753.99
2462918,120603.41
1848735,97816.38
2302484,114179.24
606351,29748.57
1054907,56826.91
3304007,165392.84
3316421,163340.76
2986386,152241.68
3203319,162761.71
4943084,243804.1
2108878,103360.92
4138947,203976.76
3410220,159407.68
1711314,91906.32
3675438,179545.28
2064191,100725.98
789873,40978.85
682600,35149.78
1997090,101829.43
448316,23279.07
1748624,92015.7
2535574,125041.85
761768,43361.0
1529278,75247.97
1329407,62672.74
1056244,51662.07
759802,39523.76
4312333,219414.35
1682077,86154.41
1885736,90719.46
600544,27426.58
1924281,94514.32
4618606,231718.29
2905648,148355.83
1718698,86398.5
1978832,94045.55
2404109,124273.29
2689470,132579.49
4108318,209224.19
882207,43108.63
2711483,134970.1
1015157,51806.35
3833524,194390.69
2148636,113967.34
3659014,181746.52
4144069,206703.1
1575217,76076.27
3759159,185456.54
2587977,128799.84
3122373,159122.12
2324609,114528.06
2636568,134790.47
3740271,185873.6
2677062,137179.18
608889,23044.77
954982,45847.91
796193,42862.11
389460,20854.44
389704,19108.23
1098726,55867.91
4979943,250368.48
4009815,200382.75
246049,11407.41
626702,34102.04
1137462,59494.58
2904098,148349.56
2018289,107251.35
3163127,159103.01
1050136,58885.14
3474982,178584.73
2368626,123388.31
3940302,198486.59
3420213,174016.86
4095357,209885.28
3569452,175273.48
4860525,242948.06
627207,32222.47
4983763,252830.55
1765466,90467.46
1804704,93037.27
3328183,167960.76
2389424,120328.14
218510,6174.83
2782611,137868.29
111114,8227.71
3958587,198030.34
4780826,234602.32
3273117,162182.85
2462836,129203.03
941919,42698.28
2790343,132747.2
2694014,138117.17
1016734,50472.28
2698233,136645.98
1544676,79901.09
1487653,70490.87
3423355,173866.08
2739322,130690.86
3901301,196086.28
4681611,236507.33
1691665,85036.08
1554814,73858.3
120234,6003.06
4110003,210382.01
1366392,69971.42
3983116,197371.04
2842439,142059.95
2974391,151613.07
4436390,226531.45
4996131,244516.77
828472,44857.19
4438325,224935.41
4808842,237645.86
4234758,213244.77
4141293,206306.63
3669317,180813.06
4592228,229209.37
2277575,109668.7
3579299,179204.57
2064871,101867.76
435210,20954.28
1506980,74420.4
4362318,217580.1
4895411,242561.23
2988353,141816.34
3341918,172968.62
4417242,226043.63
930321,48707.81
781741,37913.69
488847,26799.2
1077019,48610.04
739705,39759.74
2249716,110909.41
4965636,244297.8
1122113,59587.99
738809,38461.42
3969605,197025.53
705777,35141.72
2669800,130702.47
4642072,233665.99
587002,30775.74
3166781,159452.21
3571865,172152.2
1672223,84325.0
2811450,137206.91
179364,11652.35
4280464,213827.05
1628005,87965.73
2645643,130608.41
4154816,203528.21
548183,24861.33
3976825,198872.29
1990699,96273.89
335159,9600.1
575927,30716.07
677197,40089.21
3478655,178093.81
1001275,48991.66
554343,25996.87
1994377,99560.85
2505386,128693.57
3105481,153543.75
4640232,231393.8
3633121,188382.62
2660444,133436.46
3895702,199047.56
3315739,166764.64
2561375,127925.99
1605960,80227.97
1789095,85079.87
2339665,118277.33
780931,40566.24
2023042,97917.64
4830910,245013.27
2347071,117684.67
1210655,59739.44
934088,51257.52
3534117,172309.43
2786475,140671.2
4182306,211071.01
3918384,196749.72
3059190,151320.77
294040,21275.15
2687306,136535.99
2453497,119899.7
723437,34268.04
1112658,50174.33
4401123,219577.13
2188305,115614.92
3222989,156899.23
1091673,55513.72
2734887,135696.15
1953834,98652.65
4270004,214612.59
3324829,166775.48
122928,1855.16
1512417,73108.89
1637863,80669.95
2032651,101978.95
3266540,167392.94
4354732,224235.47
2461559,122723.74
1622121,79799.67
1809084,90903.0
3961339,198902.63
3390531,175090.2
3036064,147470.71
4539742,229110.99
3736911,190306.12
3704975,182503.71
530769,30442.52
4181921,206080.02
3156811,153388.05
1301706,64391.7
1421554,73374.65
2080570,98310.6
1395023,64540.87
802185,43329.97
4588116,228944.61
3945319,198394.83
2891241,146318.15
2942500,142717.67
4737665,235135.77
1236480,61703.31
4480485,221343.21
3177571,157692.97
436863,24632.95
4998332,243743.38
2164996,108735.89
1919999,92861.3
361197,17212.39
3314518,164963.66
3257858,163220.27
4035987,201578.46
2820828,141944.86
2821895,142944.73
4079595,199270.07
1955256,96716.24
2358817,115576.52
3240851,156841.52
4684647,231276.82
2951152,150620.56
419358,20204.73
1873266,95204.32
266670,14629.44
730837,33828.26
4614609,232345.87
4628370,228108.04
4896928,247021.18
4211259,208778.08
4354774,213737.35
2449695,122906.16
3745276,185145.42
1261570,64966.4
2940971,149181.97
4163200,199200.5
4470801,233871.26
843281,38313.8
3373283,170814.83
406826,18983.46
4483145,225148.69
621438,29198.54
1175883,63214.9
4307617,211078.54
4477360,226969.19
3051207,146820.12
1643162,82448.42
3467857,169232.37
2857523,145015.71
2908574,146455.02
3476227,175386.56
4619605,230171.19
3722204,185315.62
557611,27474.51
4214714,207213.69
4533942,234424.82
1259219,60570.99
3139530,155775.87
1708042,86364.47
3328551,165083.64
2433557,122534.54
960975,42494.82
3785887,189185.32
4747747,234567.73
115998,7005.98
3156014,162386.4
2852241,148288.29
318176,14551.48
2873328,136143.11
2969595,149462.87
2021963,99980.45
1912780,92825.99
4602536,230901.16
4635296,232394.84
2930165,148653.53
218711,9415.36
4346021,215495.11
3265698,161396.88
3788602,187396.62
2341894,119122.64
4386661,216940.24
1415290,66467.59
4354416,219193.66
2174897,110086.11
778688,44672.13
2438991,129394.72
3333439,171229.67
1591412,81584.56
1538991,76889.23
1594564,77445.52
945073,53928.58
3431252,172734.16
4362917,222501.35
4722066,235949.68
1954062,99237.91
3386949,169923.48
174912,6733.67
4214099,212345.99
2005258,107032.6
1020091,49425.91
1581763,78454.55
4710426,230017.1
1618106,82753.03
589651,31272.6
760739,39734.0
1731419,85757.14
2800841,138853.95
3840340,192589.04
4950581,249091.43
1314353,65679.84
3392260,168194.09
4204101,205445.46
1920362,98932.05
2759451,138376.71
1657364,78614.03
2846177,144180.52
3426402,173308.74
3593425,178215.33
3544953,174123.18
3203533,163315.03
3198538,158458.52
4081828,197026.34
3635871,181582.14
1862730,93562.89
2062299,103447.78
3151001,155402.99
2049942,102672.22
1055092,54865.29
945713,40881.08
1528167,78040.39
4126616,208877.95
1978858,97921.95
4894505,240704.9
511524,28275.77
1284651,68099.0
2332637,113271.91
420666,20522.26
792115,36653.24
1048700,50565.67
1445293,72123.35
645614,35064.93
3834890,193588.14
537294,27284.94
1908576,102054.74
3573898,174797.0
609731,28782.09
2921085,146370.87
4100746,204102.75
4918053,245283.07
1098343,57512.01
385105,16604.19
2054525,108053.45
3324887,163505.87
1669510,81256.39
1386926,72760.21
1226028,64945.92
3103952,154225.73
3256608,166561.7
147097,4633.31
359294,12240.05
2632948,134620.24
1837352,87330.03
3612123,180563.87
3637591,187593.0
4808739,237599.3
4146217,203427.16
1648888,79585.18
950294,43829.19
2154442,104403.12
2123604,101565.21
3169297,161378.33
3948973,192403.1
4158790,209894.0
3362592,163179.83
3643276,182621.94
106483,7988.81
836401,41713.53
3218370,157279.01
2257127,112718.5
1741931,85484.05
3001280,149499.84
2378292,115046.98
4971957,249675.38
1930340,95682.92
4858167,245194.43
1862097,96212.49
1616273,81859.92
3387958,168431.99
4250077,210196.3
3515449,173154.93
792657,40629.33
1394847,71296.44
2557582,127474.68
3608978,180408.93
2322653,111974.04
335306,17195.07
4691097,233171.56
2916062,149282.3
2226935,112313.51
1824981,90337.15
2975054,149931.76
2951655,153219.44
2002360,102734.68
2173636,106972.98
738578,38459.65
892676,53336.72
1455748,75417.41
2043482,101794.09
3980735,202766.34
3895856,189405.18
677967,30745.57
512665,19985.27
1012684,45886.27
591819,29633.74
357606,13743.97
4334437,213704.18
427998,16250.94
1375750,70181.75
1212200,56932.38
531276,29180.61
1133364,56256.69
1753654,91868.79
651307,31494.02
1102919,57748.22
3587118,179974.3
642233,33936.39
1116570,58673.74
3423267,171714.47
1617382,82010.17
4545562,228961.78
1434532,66889.83
3816524,191934.84
2917709,148397.04
680270,33768.25
4122242,202052.0
2896112,146304.82
232028,7392.45
2289842,109446.08
569802,31979.33
1539852,78559.2
542529,24725.9
3057086,154124.72
2377210,118265.82
563710,30602.54
4567502,237534.2
1867768,90730.24
3060275,151960.17
2218966,107409.59
2768650,141567.84
124022,5511.69
1832746,90970.47
1377763,67608.4
3355229,166007.21
3811106,188982.88
4644608,231065.78
2358948,120305.67
3429508,174263.23
2165174,108729.16
165858,12617.89
1982596,101015.74
2964652,146345.96
4305448,217899.3
953060,50459.46
4643535,232691.69
1256851,61998.45
4324607,212188.32
4622507,229710.48
4960027,242437.68
4666036,232242.62
4116163,205950.18
2351034,120810.95
3039183,150373.78
4362014,218856.57
2935085,150180.12
2781972,135683.61
2342764,118835.83
2156329,102839.53
3460517,170163.48
2388543,116844.18
2246978,110275.22
1477542,71727.18
4089211,205478.45
560716,27410.04
2606530,127222.6
1878928,89386.13
4397329,221902.64
3310893,168417.26
2367530,118347.14
593577,21284.13
725319,34737.41
797637,37841.36
4986880,247788.81
4078140,207849.31
4033106,203668.94
3565148,180636.09
972199,51792.04
1352832,66454.37
4895196,243748.59
4749608,237730.99
1388460,67714.04
4622746,229368.81
4346724,219860.67
2979109,150700.58
391086,13313.02
4821950,240529.24
4697923,238424.5
1743512,89524.81
3129216,156788.52
1632982,86239.28
604120,28984.62
441359,21353.83
2632003,125414.81
1424450,71186.2
208579,16040.01
3275769,163749.79
2841652,142713.83
2643448,131630.95
4617592,232241.39
3040875,150059.86
1070693,58876.65
4159142,211220.19
1919143,98079.96
3652029,186118.15
1933722,96597.3
3059567,150986.56
3571440,179683.0
3139351,160555.98
433388,20822.69
3844595,191337.35
1838059,92256.53
2765893,132361.08
1647044,79242.04
2236084,110084.17
4937499,250408.4
1059600,54201.77
4503915,222049.49
3460814,174056.3
2260895,113351.26
2220315,109479.46
4219741,209141.34
3314986,172850.55
4232876,206302.03
3048029,150735.14
2636344,134260.52
4214069,208101.67
443149,20515.87
3287959,160842.14
136111,7560.65
1368684,69531.89
1074536,50481.54
2868338,147747.86
2352818,114748.43
4992940,251014.54
898848,41092.67
975463,50434.27
3223136,162705.14
878551,41737.28
2638396,133050.89
3909980,196537.11
2312566,114942.89
4550214,229994.57
1300686,62363.32
3389384,173190.98
1567468,80006.95
4670942,229723.7
2314478,117394.77
826708,40694.3
486719,22582.18
4563220,230467.37
4753318,240804.47
157292,876.46
3415502,170610.94
4492442,224224.7
696394,33234.69
1660564,83609.92
3368432,171543.65
1042652,48244.25
4822360,238873.37
2713949,133505.5
1647861,84116.92
4834068,239997.35
1521341,78361.76
4991868,252347.96
811707,39948.83
4104793,205794.23
3953569,197273.74
691262,40665.99
4536018,223931.76
2353384,113155.49
820855,33229.63
3885890,194941.94
4574063,229417.13
325371,12866.38
1874588,91448.07
4637452,234840.36
198207,12379.97
804146,39487.98
4164457,206862.87
4789344,237980.87
1998511,100995.21
3415999,171916.5
3941286,199445.73
1064340,55251.0
796340,37470.49
1998164,100252.52
3679085,185381.41
1380520,67424.39
4366432,218281.92
4328254,214442.89
4791498,237005.56
3238299,158181.94
972568,45165.57
4171201,207374.38
1250762,60668.91
2141897,109753.88
124504,4024.66
4937225,246388.71
1017431,51478.02
2757264,135324.96
212626,9481.76
2384342,111095.03
299190,18171.59
4126680,207234.18
3668867,191856.36
3831106,191162.44
2504059,127143.07
167016,11230.72
4082115,204652.29
2395142,115282.92
1875681,100182.7
1442137,71471.35
2728188,135345.6
3062815,153587.05
3302429,170137.28
2020828,103603.72
3109643,158180.49
4775009,238104.65
4836485,246374.18
4556246,227126.34
1724967,82131.16
4067252,203160.23
3696488,184801.62
774405,35773.61
1391873,67808.37
3654111,180605.58
1255380,66542.02
3556523,176535.19
2649902,134406.85
2145327,109507.59
2179198,111700.78
4091396,206552.17
147075,8299.53
1876428,86638.94
2431355,116196.78
918925,43376.59
2875807,142015.43
3711918,183599.99
4889326,244937.39
2857564,143301.99
2394744,115274.19
2845401,144812.67
443148,23091.52
1431298,70704.07
412464,20663.44
4697641,238409.67
1109719,55797.22
1887869,96112.84
3484440,170174.05
643649,31834.87
495514,23410.94
1309375,63784.32
1961755,97553.18
265232,14084.48
213151,11281.44
3595335,180757.12
1273368,56446.17
3776058,189803.82
691159,36268.64
1013260,47171.18
3504521,177068.28
3420259,174152.45
4395032,220256.47
4582503,228433.16
3194208,159698.57
3165689,155327.04
1478494,72675.26
4365680,219220.4
2418008,125159.4
3490294,176953.75
2728197,130770.01
4627320,228402.28
1540077,75330.25
4955633,249153.45
1601291,80232.12
4194062,218261.54
2686286,136276.1
2535781,128167.4
3809562,192195.19
3373670,169257.65
4165920,211825.59
2490029,123822.12
116122,2450.46
3867735,194745.04
2634597,134918.5
4022568,201638.43
595690,28770.12
163133,15905.26
3458348,169257.15
3064317,153226.25
855330,44872.17
3740647,186711.75
3800858,190322.28
4369726,217627.08
2293341,116485.57
1804205,90846.37
3023476,152208.91
3876015,191794.61
3390708,170991.61
2935361,141766.29
1525054,78071.81
2346224,125197.64
1740309,88455.58
2475634,123702.04
3926914,198200.69
3178293,159126.38
3591123,184592.76
753967,41390.05
1346317,66742.33
3423313,168344.0
1070206,54171.48
1446942,73001.66
4692035,235832.09
3482364,177394.99
3641672,187575.44
624065,30121.65
233567,7563.25
4981558,245997.57
3726443,184281.12
144331,10417.91
2090338,99076.59
4145265,207705.91
1489377,70828.79
664808,32690.45
2991023,148118.08
417717,15635.61
4736380,238603.5
4002669,197271.45
4801864,240896.73
3953021,203263.65
4302908,212271.32
4761601,239805.75
3825509,189051.97
2097839,100208.75
4551188,232403.08
4007848,200925.24
4511835,226730.7
235412,7548.5
3270245,161403.96
3858749,191524.28
2799035,139762.67
4254779,215320.47
3364911,169691.88
4782764,237764.58
2064426,100848.72
4700600,233867.36
4723094,235617.82
2835213,140337.83
1239633,61310.45
3965674,201717.42
4387082,217724.25
1325711,63663.53
637291,32935.71
345974,15027.2
2273360,112995.21
1486400,70474.99
3254046,162970.22
1931950,95794.58
1255371,60065.33
385473,17579.17
4781020,238114.01
987779,54981.3
2699954,133560.07
3798697,195502.05
4218279,211826.63
4446827,218858.35
3073418,154310.21
2101657,105931.89
2346964,120733.55
2685186,133355.72
677780,37111.82
1531777,79445.43
4987368,245952.34
3580449,175711.17
2295363,109627.19
678309,36673.18
1156495,53925.36
347862,20881.81
4534892,230853.32
1386185,75804.46
2500889,126924.09
538039,29201.6
1208225,60304.39
4211062,206103.2
2504690,121760.53
675317,32138.05
3247118,164087.74
775448,37416.21
1619799,79340.66
2463754,128410.28
