number_ofvisitor,total_daily_billing
521,133550.77
140,27508.49
338,90382.66
843,220429.62
322,73711.74
582,143628.15
563,139153.14
640,166268.61
605,158827.67
755,186594.4
632,155711.12
597,154333.17
607,150709.1
995,249889.24
796,203797.47
273,71912.89
628,158456.3
820,198450.78
547,139760.87
680,174967.46
978,248271.53
606,144636.27
74,22602.67
726,177970.74
213,41238.95
340,84228.13
836,203269.53
94,23489.9
417,98011.5
260,63944.26
786,188381.49
195,45371.87
972,244681.63
399,108598.63
848,210601.18
984,245932.93
884,224991.18
455,115776.82
997,251530.95
59,18244.17
934,231595.68
569,138312.68
83,22145.45
283,59098.6
230,47232.71
963,248227.25
573,148926.8
799,196351.8
753,182098.95
913,230961.92
435,112266.08
322,76039.0
997,248617.25
893,214239.34
376,91804.67
384,94819.88
563,141563.11
76,30078.3
971,236854.7
714,186011.03
189,44341.46
962,237084.02
754,193721.86
144,32509.25
217,49795.92
566,144541.75
781,197612.02
77,16603.41
810,211483.95
633,155742.13
357,81284.07
447,105883.03
183,39727.38
835,206874.39
342,92651.73
753,179169.15
544,144501.1
404,97443.4
596,146054.77
687,167714.22
66,13805.52
159,38419.04
524,130240.54
649,163585.23
59,4150.34
612,152192.8
161,42596.57
898,224075.32
613,151802.94
798,196868.88
369,97471.41
338,86806.56
658,163353.48
834,211035.24
515,133327.0
429,100349.31
226,58965.38
413,98994.79
791,204163.6
176,39179.16
312,77825.18
929,233581.96
944,226675.83
495,113283.32
508,124862.43
315,87104.4
336,83042.53
74,20865.16
234,42873.92
114,32651.45
476,121444.41
553,141524.82
180,45196.29
872,211601.14
353,84460.19
882,215942.75
504,128713.82
796,197827.95
162,44632.93
932,236107.87
621,164024.44
575,144281.9
136,32866.36
545,136716.66
898,211148.88
63,13879.18
442,113538.57
902,223999.04
734,182228.96
563,139208.43
805,209133.34
209,53570.02
825,205421.5
341,97315.18
267,60129.33
470,114031.24
832,202525.92
595,144839.84
710,183670.54
570,137405.78
89,22328.71
815,206045.27
75,22131.99
540,131628.56
967,244481.65
446,109120.94
74,18475.61
248,56550.16
420,98369.32
140,36689.58
448,123863.78
509,125542.58
606,151287.64
274,71516.88
838,214769.38
138,40023.35
345,88918.1
224,55123.19
391,101147.51
622,157455.22
319,79447.14
761,194812.97
393,100385.37
884,217501.18
637,153924.44
224,48045.9
519,125040.34
961,240403.52
888,227124.83
835,208168.47
990,248976.45
72,21007.25
587,140671.27
279,67588.71
755,182933.53
179,43066.07
199,51075.58
676,169392.19
215,49633.68
298,77227.71
731,184064.69
717,181393.21
624,156778.05
322,76743.43
292,66932.77
417,106193.38
748,189119.91
676,169384.43
307,87272.27
916,226706.7
384,97717.26
256,64560.3
157,39082.67
933,227926.66
305,74901.0
670,172317.28
296,76949.39
275,73011.69
227,53707.53
192,52626.36
195,43276.35
126,30520.25
87,16656.96
441,119119.15
641,161056.82
709,181982.01
493,125259.24
843,213417.35
980,239777.52
170,42181.64
386,91093.54
715,176413.87
835,208871.36
733,178558.72
184,39498.84
285,65126.74
84,24078.37
61,13579.2
426,99959.44
800,199593.89
418,107950.48
861,214512.15
90,15209.12
103,24667.23
178,40261.58
330,83514.61
385,94151.88
298,75319.1
939,225857.59
832,208081.83
636,157384.32
406,96774.5
536,134013.68
436,107140.13
734,182848.76
425,101001.73
94,23929.35
484,111422.88
731,181425.77
984,245456.21
581,153266.25
806,199755.63
256,71541.51
963,245995.33
165,40198.36
728,181634.26
916,223159.78
334,80120.52
837,209973.47
987,244716.66
896,227992.12
145,39103.23
573,144295.23
873,221240.02
932,234702.21
829,207184.72
614,149632.45
659,173808.38
559,142856.63
313,79895.59
875,214728.71
841,222198.43
926,227847.83
110,27646.38
178,44837.63
138,27686.72
127,33931.48
789,198909.1
119,24368.47
734,187132.93
442,105628.35
673,166619.59
434,104580.42
506,129515.58
201,52737.68
621,149582.43
280,67009.31
515,125833.04
481,123480.6
984,242426.85
323,80124.72
154,37326.55
397,97607.4
357,97853.24
307,73362.57
406,100360.57
282,72314.74
213,51125.03
353,85309.48
934,235196.32
905,230165.3
852,219513.05
759,188760.38
898,220648.42
655,159862.26
676,176013.81
121,31875.4
987,242653.51
897,220853.17
855,208196.19
203,50354.86
336,86411.75
303,83478.59
741,190673.15
493,123432.7
57,10789.69
238,61794.46
84,12150.59
851,208810.35
187,49925.9
729,186629.82
157,45792.39
357,88684.19
189,53731.61
410,100579.7
204,48684.64
708,178536.98
362,96212.56
267,71445.3
615,158917.23
576,146633.62
272,72795.35
415,103890.31
982,247078.72
750,201435.69
451,117143.47
782,195600.08
861,219266.09
396,93722.29
919,228142.36
433,107235.39
901,221664.15
710,186350.07
846,213870.74
156,41925.23
832,207479.25
391,91985.88
392,97684.83
373,91137.14
812,197920.05
905,230047.32
625,154918.93
831,198848.72
726,181503.82
552,138096.46
615,157519.98
364,91600.73
689,169185.98
236,61489.52
774,190255.88
872,221526.62
476,124778.76
741,172850.65
856,210253.61
894,225823.75
708,177461.73
233,64735.55
523,137004.59
725,185880.7
229,48816.74
349,86434.75
863,218952.54
146,36367.81
729,181618.95
385,102437.91
230,59291.59
490,121238.11
452,107072.38
511,136352.14
861,216762.32
285,68917.27
655,168406.64
272,59982.63
965,250010.42
861,218305.14
988,257971.62
672,171165.09
312,79193.47
859,211728.33
111,25558.75
278,63296.43
288,81886.93
819,205413.15
775,198101.37
638,164647.76
607,150629.69
805,197239.18
599,146167.21
656,156263.81
434,102906.12
992,250675.5
412,108115.43
190,47527.9
621,159867.83
501,129985.89
104,24429.15
156,44436.76
336,83187.04
402,98356.1
959,240180.96
262,58452.68
647,161566.68
950,225958.16
936,237376.95
743,179279.72
230,57467.61
214,60921.78
145,36606.71
490,113032.5
52,13646.4
538,133222.2
254,68158.68
444,110433.88
803,206326.28
347,88928.29
744,190374.4
215,53283.56
713,184667.57
954,235941.78
958,230335.9
391,92273.03
451,113353.33
827,208103.79
189,48026.9
293,79343.65
352,88945.05
799,201397.61
260,69900.36
388,88617.05
678,173114.75
59,21331.5
946,240087.94
549,138825.02
120,34014.19
168,31269.3
680,169351.85
956,232508.45
486,123416.35
176,38979.59
309,81499.29
277,67169.84
494,117064.63
647,157027.69
827,200184.01
264,65823.47
438,112582.84
289,69025.1
429,99955.48
381,95181.08
810,202321.47
975,241255.04
618,150575.64
466,122898.55
214,50537.58
899,217544.51
245,60808.75
288,74636.61
328,84303.76
119,21752.95
824,212089.3
68,18051.99
287,74604.16
960,253257.81
422,109294.44
289,75110.28
391,96620.38
465,116223.81
384,89979.11
364,91422.89
119,37880.44
247,63881.96
311,88900.42
893,225898.73
243,62150.43
522,129809.86
181,55106.38
424,103677.18
119,26114.81
816,199591.44
746,197809.63
795,199487.1
494,123920.58
420,107602.27
489,120992.3
918,225681.65
279,65691.11
191,43521.98
672,157989.99
132,33294.15
804,193206.3
568,144746.81
487,125931.19
515,125736.99
622,157183.08
925,234883.28
377,101773.28
973,241300.66
262,58437.35
232,53471.72
404,92691.92
800,202382.9
614,137393.72
269,62237.55
644,161059.87
733,177859.91
77,14948.62
863,219895.67
226,50900.72
428,104713.6
500,129643.78
536,132137.2
716,191019.31
298,79976.98
256,69743.36
293,66309.01
728,181509.7
263,64328.85
133,31213.5
76,16321.07
84,20326.29
551,125740.2
864,211365.25
869,225664.25
118,26821.31
243,57481.22
346,86174.86
611,152909.62
606,140237.95
325,81954.94
681,172990.98
341,88189.77
761,185557.2
652,170706.25
375,100888.18
201,56948.58
725,185189.07
182,43760.47
261,65271.46
965,248368.52
230,46094.18
817,200595.34
410,104795.54
473,117111.97
659,162747.96
920,238130.59
173,47427.58
227,61557.56
379,90887.28
802,197725.07
275,70754.12
212,55164.32
881,229499.63
982,247355.26
862,223794.63
542,138753.34
855,212604.38
927,227862.79
520,134019.46
406,99661.52
390,96932.47
204,46874.59
809,202268.83
242,63468.22
634,156476.85
308,73437.03
876,219334.56
279,72088.23
149,37201.83
275,78214.51
79,20253.35
784,198583.43
271,72166.73
65,18232.71
846,206663.77
767,187618.82
507,121227.22
265,59651.42
661,166616.0
585,152451.55
824,209589.81
482,124022.67
662,160371.85
607,154215.55
289,74897.32
865,224627.83
151,39435.88
714,187193.45
92,23623.51
616,156239.97
467,122574.42
370,93751.93
717,171677.95
858,209535.86
462,128823.06
977,244749.82
83,24223.51
876,213673.58
799,201450.7
494,130150.93
229,47908.01
880,221044.64
715,179754.5
766,193116.61
317,89834.04
583,144438.65
361,87894.96
55,12877.28
597,161088.67
687,172542.94
507,129643.73
790,186027.13
748,187562.58
620,154136.07
529,132713.05
117,27640.58
869,210785.21
169,40887.24
382,103044.85
897,224869.16
924,222017.21
996,243128.02
395,100154.26
914,223191.26
294,74668.92
629,163500.61
715,181111.98
890,217593.55
346,87354.24
764,194710.53
694,169868.02
998,244100.79
983,245302.78
677,177001.54
654,158575.47
663,163565.88
409,96296.25
397,95483.44
486,120847.24
521,129511.59
324,67236.03
679,168595.37
114,37323.9
118,30212.1
776,192776.52
358,86657.81
196,44380.98
627,157284.51
557,141508.05
225,64943.86
627,153042.24
250,68983.63
67,23041.08
385,94227.03
856,210347.44
176,36823.49
762,190663.47
541,133812.43
100,30358.24
688,173764.99
200,40090.13
210,52178.39
237,60783.12
279,68597.6
659,169203.26
971,239927.88
962,245687.02
230,54726.79
895,222099.05
766,201241.17
519,123160.07
476,119469.09
865,217990.3
131,29668.65
453,115594.77
527,135432.12
980,246396.91
82,21476.08
799,202365.79
642,156737.6
916,225845.05
509,129562.95
563,138905.53
467,116497.93
381,82631.34
651,166105.33
687,178376.42
465,119310.53
582,149328.7
54,18127.33
333,82326.6
904,221547.26
353,90853.84
913,233581.71
246,56080.88
303,79342.48
916,230440.98
811,202196.95
887,220431.94
644,162364.66
797,196036.22
217,69380.91
55,7107.78
191,35015.43
424,107457.81
174,43945.91
372,95668.79
444,96718.61
216,44832.72
730,180273.92
73,22642.83
732,173917.2
158,41742.98
259,63521.16
656,164794.18
251,62618.17
459,114660.69
846,211388.26
51,18271.76
847,211923.77
792,203087.48
815,201548.28
160,45589.38
635,157569.59
125,30128.3
261,56368.11
679,165236.23
282,66992.85
236,49954.76
324,76684.91
359,93184.74
937,238232.72
712,169573.94
260,73312.55
400,104195.25
850,222901.48
371,98282.53
256,73459.79
956,241093.57
139,30867.97
707,178056.53
114,17309.63
465,115445.56
949,237023.9
647,166577.26
341,86285.34
526,129293.53
490,115511.58
419,100987.48
722,179380.09
792,194482.07
703,162638.84
481,120191.63
288,69669.46
342,83075.83
286,72320.63
694,171220.36
867,222136.82
750,183812.76
775,189638.65
374,89709.58
918,230385.16
471,118558.84
479,116951.05
403,100684.56
704,177903.11
545,139246.26
342,84918.99
844,207057.66
673,164314.49
306,77814.53
462,119124.41
430,108253.68
249,60316.96
274,65651.23
952,242033.22
846,205362.5
720,177622.59
343,92949.9
569,148097.2
656,165000.93
726,179069.76
492,121733.6
768,192431.67
231,68288.74
549,142371.46
491,127209.95
657,163473.8
331,80268.48
993,247265.98
162,45477.85
316,87130.18
584,141734.19
979,233266.25
850,211246.31
514,133805.04
435,105896.94
557,141513.34
162,34875.9
366,90029.42
181,41306.73
573,142486.08
974,244515.14
795,202204.74
800,197902.89
924,225317.64
152,30396.93
731,188162.33
234,54425.13
995,251328.19
115,20791.34
184,53849.68
174,57418.62
106,28147.25
351,86303.02
839,216943.94
956,236519.66
978,244751.87
743,171919.06
709,176864.7
822,211282.86
885,218948.34
63,13529.46
948,234817.97
675,178563.99
515,129886.8
491,122944.26
76,16976.24
821,210391.06
433,104221.29
369,98538.77
268,66414.03
781,201107.02
903,223905.2
219,58841.41
462,118198.55
641,159951.29
468,123844.08
836,215479.56
165,38026.44
655,160165.26
118,28291.05
336,82511.1
732,188197.23
656,165793.04
510,123002.67
198,45234.8
927,232313.75
784,200331.1
242,68324.29
282,71358.59
766,190878.68
211,51630.84
597,145606.51
507,126360.98
791,195315.26
602,148456.55
211,55723.55
202,43301.55
490,112918.12
370,87743.47
125,35208.04
429,109000.71
812,207703.67
839,201498.8
749,189811.49
487,114560.1
938,229093.65
839,203264.52
750,181852.35
175,56960.63
801,202903.79
755,179509.71
990,239639.76
249,62653.44
274,69340.77
630,154320.04
241,68695.45
571,138299.84
828,211645.89
295,77814.52
461,127266.21
822,217729.9
573,146720.14
605,151430.57
670,169286.52
398,102573.08
139,25450.2
846,204009.18
511,132623.93
341,92082.84
340,92436.72
418,103435.32
313,79887.09
321,77958.59
860,224196.14
118,27557.79
193,44339.7
105,25451.65
602,148543.65
126,31140.9
569,146761.05
359,90385.36
139,31791.15
425,102982.26
950,234819.53
826,196777.17
243,65269.88
632,161085.49
847,219539.83
386,98403.56
555,131217.52
157,40009.64
656,164922.01
560,143708.91
370,101489.43
525,125074.99
335,86584.44
864,215158.33
400,112843.18
905,230659.83
976,242685.62
294,80296.56
636,157771.46
411,106151.25
385,94319.58
698,174873.24
271,74117.48
765,189415.9
487,106572.83
622,151719.86
497,131665.72
914,236425.93
311,74168.91
350,79531.68
626,154162.66
598,154330.69
907,225654.17
283,60801.05
250,65336.28
450,117660.82
663,173664.52
159,29441.89
970,248224.7
611,153681.56
557,135949.11
940,226761.69
888,212723.71
928,228159.09
848,207923.97
721,179718.54
932,240403.55
865,215898.25
260,57289.45
548,131907.9
706,178175.59
238,55737.6
234,57917.83
362,96267.19
503,128998.53
298,71756.12
722,175591.77
708,186846.73
832,204497.78
724,192956.72
738,192596.38
279,69301.74
725,175150.75
273,68442.42
785,202835.52
793,196350.07
103,19162.8
85,18454.91
614,155451.23
749,189605.9
531,133157.39
635,156419.22
349,86638.66
338,82198.95
477,119926.27
360,91313.61
507,125531.07
605,147037.86
100,31255.09
558,140990.06
148,40582.46
391,94039.71
612,152550.87
696,170184.76
774,200571.82
434,103087.13
702,170459.26
506,126839.65
353,82414.59
944,243062.27
675,161700.69
800,198811.62
901,223164.28
736,185503.58
608,147988.68
315,80037.81
75,14445.13
99,19703.27
992,246869.86
989,246727.51
690,171096.54
414,101561.64
880,226822.59
194,50008.58
194,49720.95
216,59369.75
92,16199.06
602,160893.69
64,7604.44
178,50657.08
107,18351.37
103,25427.55
273,65158.99
764,198636.45
182,49355.14
623,154313.75
292,75658.22
259,66159.14
291,76258.66
432,107016.53
259,61278.94
264,55143.7
293,71527.5
120,30672.04
863,210746.48
139,34372.02
498,130070.39
205,51696.01
427,103057.16
133,37865.95
474,119596.13
712,178952.28
721,178106.15
535,127449.38
984,247216.72
131,34588.12
850,208915.07
235,59529.58
138,39173.88
209,47168.74
419,106861.25
611,152249.77
228,61799.38
781,200636.08
254,63808.24
580,144987.19
564,139881.42
165,35958.2
396,100969.01
450,112805.67
348,83222.7
718,169667.63
802,203253.02
559,137969.56
157,42671.26
861,208432.18
101,25608.63
402,100341.28
589,146201.12
261,73152.26
158,40304.57
979,236095.63
871,215746.34
819,196682.82
419,111826.77
781,196481.4
578,143700.05
289,65196.59
773,194114.02
451,117994.83
845,214207.66
845,214010.92
229,64421.08
321,87892.0
978,245040.7
134,36442.65
822,214068.21
544,130978.62
350,89889.97
470,112389.51
259,62881.46
357,95940.44
111,23530.86
54,18952.22
545,133213.54
156,44496.8
572,150316.68
903,221217.79
776,197189.71
523,136297.64
780,192836.89
436,111843.48
228,51023.03
539,145707.36
877,215525.18
115,27307.39
746,185834.7
578,144908.42
436,111239.6
436,111157.96
601,144700.21
385,90006.14
637,167741.63
880,225788.96
807,195238.28
100,26980.36
690,176562.98
356,99316.92
309,74875.75
770,197607.92
260,68633.43
693,169807.95
480,118277.47
984,242243.5
645,163053.13
98,16773.04
490,121410.09
295,71962.61
600,139782.13
501,126792.5
194,51887.04
704,168753.6
296,74013.3
410,95619.81
717,179860.79
65,22095.98
439,107211.36
397,97780.27
977,254818.57
330,78775.22
600,145322.27
194,48473.8
95,35832.67
512,129266.92
933,229960.56
870,220479.13
419,108475.18
356,92033.59
451,116663.48
543,140430.0
581,144607.21
392,97357.2
182,49705.17
561,128028.73
367,78787.94
920,227011.85
317,77534.25
642,163971.39
719,177348.8
273,74110.17
961,240970.5
51,8849.38
686,177816.88
290,73886.79
166,35007.8
948,240823.88
825,210068.98
598,143114.92
486,122036.22
360,93023.86
265,57924.68
610,157777.54
266,63057.82
620,150674.18
621,153829.55
394,101996.16
127,36735.71
168,50325.55
479,115283.65
917,231084.4
368,95409.68
688,174423.77
256,59102.19
721,181533.21
371,94357.48
646,158359.24
53,15666.86
718,180543.13
226,49736.75
398,102666.99
840,210572.15
948,227544.93
359,88250.64
813,203868.29
966,237904.09
129,33812.18
93,21811.68
965,246377.03
532,134355.53
502,135019.13
779,187540.54
248,63599.22
741,185333.56
257,66352.96
962,247042.97
243,53586.23
61,18289.66
766,193184.83
438,104951.4
897,230193.74
175,44053.31
397,95536.03
121,32393.24
489,127029.16
781,196837.81
351,85613.59
633,154279.02
398,95431.47
170,46474.34
835,213466.04
349,85992.25
604,162674.62
257,63058.55
523,130375.46
263,63772.0
384,95413.6
126,31307.01
199,52652.65
301,74277.5
621,158282.38
262,57515.4
624,152879.8
547,135148.35
841,208975.23
754,179332.9
78,23974.92
946,229155.59
941,232091.62
562,140359.76
122,40710.42
838,209235.13
255,65992.0
717,171829.74
707,172574.87
914,225021.21
101,22581.79
371,97834.38
676,166256.88
275,71792.43
649,158396.86
111,26352.28
68,5005.01
819,204395.47
759,189680.98
360,89029.78
640,169827.02
490,122173.89
572,129387.52
705,170152.38
805,201034.54
134,33102.18
588,142935.39
839,204643.7
52,19928.41
820,209948.86
292,78625.88
454,110358.89
92,26500.99
759,176913.56
650,160422.36
282,67742.95
557,137993.45
854,214076.84
399,98893.99
489,116612.23
600,146278.08
965,243841.15
882,222272.88
212,60964.0
348,88561.96
70,24940.01
59,7511.84
94,26453.52
654,167287.73
52,15424.37
92,16996.75
229,58837.24
346,84694.7
426,109392.3
156,38565.57
986,243655.24
766,202908.14
826,202783.37
479,121147.01
961,243009.22
685,169783.39
162,46195.87
426,110816.11
96,15566.4
717,182344.64
333,92114.43
380,91189.86
285,64363.03
911,226239.21
700,174839.25
334,83657.29
803,205986.06
489,118780.0
298,77155.0
765,195103.31
761,190762.2
106,23379.81
486,115716.38
123,23070.13
168,34650.47
620,146952.08
340,92623.12
997,248344.02
853,223463.29
382,97342.37
107,19067.79
549,136259.47
780,198129.73
793,199804.9
307,74567.14
845,215692.62
531,127485.1
518,130357.26
375,97693.87
112,26121.34
229,59714.64
877,218597.95
280,70979.02
907,228818.59
213,51756.83
409,109178.34
259,66020.33
495,126502.06
933,238914.53
604,153942.38
472,113237.42
182,49104.65
779,196013.2
252,59483.68
739,190452.2
833,203102.03
516,126237.59
613,151148.13
502,119121.5
632,157909.27
52,9682.16
138,35631.95
955,247382.78
100,24803.65
502,127909.87
721,180153.14
529,130671.97
182,49152.6
296,69305.76
935,238734.41
732,179130.73
772,199741.4
445,109413.03
208,47875.7
514,129009.03
199,41886.13
620,149630.28
357,91620.4
608,157885.86
547,133811.54
922,236875.67
354,86435.02
361,91160.71
592,148953.22
296,81653.73
748,191421.68
284,69983.54
887,233926.65
381,94966.67
220,55076.62
524,132662.3
642,158396.39
891,229670.61
414,103021.99
54,16737.35
565,127537.88
536,134657.26
704,174318.8
947,237107.0
482,114710.38
361,89336.2
550,138418.13
697,172466.61
833,211235.15
304,76321.28
773,196434.24
329,87133.29
812,208282.67
360,88089.29
743,183764.75
258,72522.38
374,88910.33
767,189649.46
799,198944.31
540,130715.31
877,219814.0
208,58075.52
581,135686.92
510,124918.35
103,26347.04
442,118323.16
293,65781.29
723,185094.98
765,190433.52
793,199062.09
385,102388.54
242,59841.55
193,48086.81
887,222424.95
261,66256.74
951,232306.51
340,85809.61
666,168670.5
548,128931.96
180,49321.93
326,86075.82
440,111264.93
383,89027.31
975,240505.91
327,70121.73
191,45961.56
906,221932.61
116,28660.23
438,114507.44
758,186988.37
932,235055.57
108,26562.09
795,194230.44
442,117545.86
558,143637.3
225,50707.29
151,39992.36
86,20462.3
373,95812.76
965,234544.42
646,159758.28
483,122518.59
545,130811.5
585,147544.84
941,233575.6
760,190219.56
175,48847.67
354,102032.5
305,76639.86
441,109309.08
636,168655.95
546,142167.76
671,176631.75
506,127691.23
55,17832.03
601,150491.71
898,224782.39
999,250302.52
766,193582.03
414,103872.11
706,183443.03
356,91877.72
51,13757.26
207,52556.57
977,242124.19
867,211326.57
277,74254.28
248,66979.75
813,197715.03
449,106823.36
132,36500.02
488,120398.91
490,117550.11
511,119727.46
94,21188.76
485,121903.0
760,188586.94
224,49368.24
594,145558.33
433,111025.39
915,236665.14
457,114482.77
596,154164.06
241,63854.95
134,30595.91
905,230938.12
662,171121.54
513,125829.18
365,91338.54
770,189673.92
78,13214.91
323,85865.62
235,66763.88
97,23942.63
316,76327.63
436,114339.9
731,188630.57
195,44419.33
65,16950.89
346,96397.15
498,133606.68
604,146379.46
476,112042.72
396,100755.08
336,87565.0
542,139096.67
333,85976.0
612,154418.12
588,144877.77
570,139334.06
426,110520.39
429,103723.47
471,109413.21
981,245969.48
877,220678.03
813,212868.45
794,198667.52
268,60368.0
106,32596.8
736,183753.47
163,39950.82
779,188933.34
295,76297.92
524,131781.34
117,29647.47
868,221688.52
107,32043.97
353,89853.22
364,93692.69
125,32984.77
352,96359.84
960,235466.48
672,162571.47
673,162307.75
783,198336.59
767,191183.09
633,152718.71
938,233532.64
525,142036.92
912,230137.39
51,20124.74
896,217483.52
750,188960.12
89,24813.6
732,186460.0
97,22984.61
761,195183.16
106,28959.14
561,140690.62
757,187108.02
61,7823.34
507,117166.54
373,89884.27
740,184228.3
635,155370.77
590,149222.2
141,39364.78
846,205247.0
388,99745.87
420,104866.48
668,158383.27
808,206542.35
305,71572.26
958,252351.1
550,143338.28
147,36037.73
95,23741.76
69,10293.22
108,35784.1
289,68003.99
425,106459.97
85,18039.38
562,142805.46
907,226645.53
436,105868.78
861,217571.69
232,65519.56
365,91494.2
436,98045.95
134,35378.13
496,116616.87
643,153902.66
720,172633.28
809,205781.22
277,61988.42
878,224436.33
98,28554.6
861,210935.37
997,251645.6
848,217890.64
889,219338.27
906,232660.54
994,249344.15
351,84303.75
999,253879.5
773,189618.4
700,181929.83
665,160488.75
114,35046.9
518,130590.16
706,180061.61
421,103282.47
589,149208.95
643,148101.18
526,132592.57
379,88183.41
58,18240.27
211,50075.9
453,110528.86
784,190179.77
692,173920.23
690,168264.78
877,218986.13
914,226865.6
355,83627.03
697,172307.06
963,237797.35
847,216601.65
146,42183.97
967,235153.81
898,225467.55
539,133349.32
570,138104.13
327,82478.77
955,241095.27
